종목코드,종목명,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"005930","삼성전자","76275","249049","172774","8524482700","27855914600","19331431900"
"005380","현대차","23131","83375","60244","6651818750","23987350000","17335531250"
"352820","하이브","6695","46423","39728","2141304500","14906611250","12765306750"
"012330","현대모비스","7504","41355","33851","2742968250","15125259000","12382290750"
"042660","한화오션","12251","114789","102538","1425011800","13645886550","12220874750"
"041510","에스엠","22607","92413","69806","2864192000","11643197150","8779005150"
"071970","HD현대마린엔진","5974","65131","59157","560344550","6220038700","5659694150"
"108490","로보티즈","7947","26731","18784","2222945000","7541414500","5318469500"
"214450","파마리서치","540","12622","12082","215251500","5024703750","4809452250"
"373220","LG에너지솔루션","2115","14194","12079","817638250","5490774750","4673136500"
"476830","알지노믹스","66352","95340","28988","10565516800","14994325000","4428808200"
"064350","현대로템","11567","32458","20891","2128348700","6072120050","3943771350"
"376300","디어유","63","77553","77490","2487150","3071882850","3069395700"
"328130","루닛","0","62199","62199","0","2645907300","2645907300"
"196170","알테오젠","516","6372","5856","229066250","2829660750","2600594500"
"047810","한국항공우주","4532","27397","22865","508488700","3098045700","2589557000"
"082740","한화엔진","6655","62594","55939","293238425","2806726825","2513488400"
"005830","DB손해보험","3007","21825","18818","388373350","2819591750","2431218400"
"329180","HD현대중공업","956","5452","4496","504624500","2878808500","2374184000"
"043260","성호전자","0","249453","249453","0","2039518870","2039518870"
"388210","씨엠티엑스","2540","21238","18698","262628750","2217496600","1954867850"
"0126Z0","삼성에피스홀딩스","10426","13306","2880","6863032000","8684267000","1821235000"
"000100","유한양행","1648","16376","14728","191712450","1905967850","1714255400"
"489790","한화비전","158","38787","38629","6205375","1527166450","1520961075"
"036570","엔씨소프트","492","7397","6905","98832300","1485831900","1386999600"
"012450","한화에어로스페이스","2271","3712","1441","2028372500","3342603500","1314231000"
"001040","CJ","1985","9490","7505","341635000","1634936250","1293301250"
"277810","레인보우로보틱스","1701","4102","2401","855327000","2061642750","1206315750"
"017800","현대엘리베이터","246","13423","13177","22066850","1205743000","1183676150"
"005387","현대차2우B","1378","7014","5636","286295250","1459504500","1173209250"
