종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","벤처기업부","1493","8","0.54","1480","1509","1462","352498","521801737","79217146720","53059040"
"095570","AJ네트웍스","KOSPI",,"4580","60","1.33","4520","4590","4500","120575","548860109","207257636220","45252759"
"006840","AK홀딩스","KOSPI",,"8180","280","3.54","7910","8200","7880","38205","309209335","108365048980","13247561"
"054620","APS","KOSDAQ","중견기업부","4485","-305","-6.37","4945","4945","4380","240049","1087386170","82498081185","18394221"
"265520","AP시스템","KOSDAQ","우량기업부","19020","0","0.00","19200","19200","18720","107884","2045583535","286266615420","15050821"
"211270","AP위성","KOSDAQ","우량기업부","18110","-270","-1.47","19000","19490","17990","1536590","28791335690","273140525440","15082304"
"139050","BF랩스","KOSDAQ","관리종목(소속부없음)","2805","0","0.00","0","0","0","0","0","24247965555","8644551"
"027410","BGF","KOSPI",,"3960","65","1.67","3920","3975","3900","124838","492450075","379038492360","95716791"
"282330","BGF리테일","KOSPI",,"117200","-2400","-2.01","120100","120300","116700","39936","4699317450","2025673783200","17283906"
"126600","BGF에코머티리얼즈","KOSDAQ","우량기업부","4020","0","0.00","4000","4090","3915","101605","408328375","252322933980","62766899"
"138930","BNK금융지주","KOSPI",,"15900","230","1.47","15580","15940","15550","729321","11515834960","4934199824700","310327033"
"001460","BYC","KOSPI",,"41950","750","1.82","41350","46600","41100","3054","128464600","262025992500","6246150"
"001465","BYC우","KOSPI",,"23450","350","1.52","22550","23500","22350","3453","80105900","50507782500","2153850"
"083790","CG인바이츠","KOSDAQ","벤처기업부","1247","-32","-2.50","1290","1293","1247","421481","530392183","95887044954","76894182"
"001040","CJ","KOSPI",,"193300","6300","3.37","187900","196200","187600","139515","26956362050","5639913713400","29176998"
"079160","CJ CGV","KOSPI",,"6200","20","0.32","6250","6270","6120","454085","2805128915","1026605647200","165581556"
"035760","CJ ENM","KOSDAQ GLOBAL","중견기업부","65100","800","1.24","64300","65200","63500","87856","5669423150","1427587925400","21929154"
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","8550","40","0.47","8510","8670","8350","24402","208297445","111709700100","13065462"
"00104K","CJ4우(전환)","KOSPI",,"163000","4600","2.90","158400","164100","158400","18198","2948510900","688921456000","4226512"
"000120","CJ대한통운","KOSPI",,"102700","2400","2.39","101700","102900","99600","86940","8849562250","2342827728800","22812344"
"011150","CJ씨푸드","KOSPI",,"2825","5","0.18","2820","2835","2800","216893","610231232","101504433725","35930773"
"011155","CJ씨푸드1우","KOSPI",,"15080","-220","-1.44","15300","15300","15000","2027","30524470","3016000000","200000"
"001045","CJ우","KOSPI",,"91900","1400","1.55","90100","93200","89100","4819","444409800","207714493700","2260223"
"097950","CJ제일제당","KOSPI",,"215500","0","0.00","215000","215500","213000","48974","10507051250","3244177083000","15054186"
"097955","CJ제일제당 우","KOSPI",,"140400","1100","0.79","139300","140400","139300","6442","902044200","186371593200","1327433"
"051500","CJ프레시웨이","KOSDAQ","우량기업부","27000","700","2.66","26800","27200","26450","28148","758042475","320532822000","11871586"
"058820","CMG제약","KOSDAQ","중견기업부","1870","71","3.95","1812","1870","1799","1191458","2199349415","276464882210","147842183"
"056730","CNT85","KOSDAQ","벤처기업부","574","1","0.17","573","574","569","26300","15011414","42539820764","74111186"
"000480","CR홀딩스","KOSPI",,"4715","25","0.53","4745","4745","4670","24027","112734833","221088660350","46890490"
"065770","CS","KOSDAQ","벤처기업부","777","0","0.00","770","796","768","102855","79880810","15082448010","19411130"
"083660","CSA 코스믹","KOSDAQ","중견기업부","474","-1","-0.21","475","484","450","372390","172480967","29781163566","62829459"
"000590","CS홀딩스","KOSPI",,"77700","2400","3.19","75300","77900","75300","1271","97526250","89703251400","1154482"
"012030","DB","KOSPI",,"1609","24","1.51","1585","1622","1570","644283","1028272732","323688858197","201173933"
"477760","DB금융스팩12호","KOSDAQ","SPAC(소속부없음)","2200","5","0.23","2150","2205","2150","11802","25959850","12848000000","5840000"
"005830","DB손해보험","KOSPI",,"130000","1000","0.78","129100","130300","127200","175594","22700115850","9019920000000","69384000"
"016610","DB증권","KOSPI",,"12020","460","3.98","11800","12280","11700","262684","3147641085","510205595780","42446389"
"000990","DB하이텍","KOSPI",,"91000","-2100","-2.26","93100","93600","88300","559690","50496280500","3958917508000","43504588"
"099520","DGI","KOSDAQ","관리종목(소속부없음)","1284","0","0.00","0","0","0","0","0","58141862016","45281824"
"000300","DH오토넥스","KOSPI",,"4200","0","0.00","0","0","0","0","0","174035631000","41437055"
"290120","DH오토리드","KOSDAQ","우량기업부","2795","-65","-2.27","2860","2870","2780","80043","224367270","44228775955","15824249"
"025440","DH오토웨어","KOSDAQ","중견기업부","1089","-61","-5.30","1183","1183","1070","1081277","1198693651","53122752936","48781224"
"001530","DI동일","KOSPI",,"20100","120","0.60","20000","20300","19800","40078","800632030","396558528000","19729280"
"015590","DKME","KOSPI",,"515","0","0.00","0","0","0","0","0","122045495160","236981544"
"000210","DL","KOSPI",,"38600","2200","6.04","36850","39200","36850","182056","6994517375","808897122400","20955884"
"000215","DL우","KOSPI",,"22750","1400","6.56","21400","22850","21400","16628","369184375","38359116250","1686115"
"375500","DL이앤씨","KOSPI",,"45100","2000","4.64","43900","47350","43750","960925","44073369325","1745082397300","38693623"
"37550L","DL이앤씨2우(전환)","KOSPI",,"34800","1800","5.45","32050","36200","32050","7677","266288000","73495894800","2111951"
"37550K","DL이앤씨우","KOSPI",,"22800","650","2.93","22200","23350","22200","17373","396222400","48196578000","2113885"
"068790","DMS","KOSDAQ","투자주의환기종목(소속부없음)","6330","0","0.00","0","0","0","0","0","142869517920","22570224"
"007340","DN오토모티브","KOSPI",,"25600","150","0.59","25700","26600","25250","172068","4433865775","1497878144000","58510865"
"004840","DRB동일","KOSPI",,"5000","25","0.50","4950","5090","4950","24714","123548185","99650000000","19930000"
"241520","DSC인베스트먼트","KOSDAQ","중견기업부","7720","350","4.75","7370","7820","7370","1262346","9706282330","208440000000","27000000"
"155660","DSR","KOSPI",,"3880","65","1.70","3815","3905","3815","44570","171981299","62080000000","16000000"
"069730","DSR제강","KOSPI",,"3870","25","0.65","3840","3880","3760","36753","139997036","55728000000","14400000"
"017860","DS단석","KOSPI",,"19110","-50","-0.26","19440","19450","18760","98513","1871076260","336034291320","17584212"
"180400","DXVX","KOSDAQ","관리종목(소속부없음)","3180","15","0.47","3175","3230","2995","259215","814235842","313005593760","98429432"
"092780","DYP","KOSPI",,"5830","-270","-4.43","6100","6350","5770","601427","3599049935","76772121800","13168460"
"017940","E1","KOSPI",,"85900","4000","4.88","82900","86300","82100","30751","2607239750","589274000000","6860000"
"418620","E8","KOSDAQ","기술성장기업부","1364","59","4.52","1305","1440","1290","867791","1196308676","27076050628","19850477"
"245620","EDGC","KOSDAQ","관리종목(소속부없음)","415","0","0.00","0","0","0","0","0","57474989665","138493951"
"037370","EG","KOSDAQ","벤처기업부","5980","-140","-2.29","6120","6120","5680","91162","543673735","51577332560","8624972"
"278990","EMB","KONEX","일반기업부","3100","55","1.81","3100","3100","3100","1","3100","25000808700","8064777"
"365550","ESR켄달스퀘어리츠","KOSPI",,"4385","0","0.00","4400","4405","4365","313584","1373598813","1079100265000","246089000"
"050120","ES큐브","KOSDAQ","중견기업부","2795","20","0.72","2755","2805","2745","13550","37535245","37911620370","13564086"
"383220","F&F","KOSPI",,"66400","400","0.61","66400","66800","65700","60941","4043436450","2543589780000","38307075"
"007700","F&F홀딩스","KOSPI",,"19840","440","2.27","19830","20100","19520","21316","421634450","776029041280","39114367"
"214270","FSN","KOSDAQ","중견기업부","1828","76","4.34","1752","1853","1742","277355","504455921","79867073052","43690959"
"130500","GH신소재","KOSDAQ","우량기업부","2580","-10","-0.39","2600","2630","2550","72007","185811790","37526234160","14545052"
"114090","GKL","KOSPI",,"12950","-120","-0.92","13020","13100","12900","176317","2285384850","801030926500","61855670"
"900290","GRT","KOSDAQ","외국기업(소속부없음)","3575","190","5.61","3445","3625","3440","654753","2329047337","289038750000","80850000"
"078930","GS","KOSPI",,"62200","700","1.14","61500","62400","60900","231096","14295002600","5779336511600","92915378"
"083450","GST","KOSDAQ","우량기업부","26000","250","0.97","25900","26150","25400","291870","7515593350","479180000000","18430000"
"006360","GS건설","KOSPI",,"19190","550","2.95","18650","19460","18650","1185424","22704540335","1642308793100","85581490"
"001250","GS글로벌","KOSPI",,"2330","20","0.87","2300","2355","2300","447848","1043621209","192303670120","82533764"
"007070","GS리테일","KOSPI",,"21100","-50","-0.24","21150","21450","20850","105545","2225328625","1764116456500","83607415"
"078935","GS우","KOSPI",,"50500","700","1.41","50100","50600","49900","6832","343899700","90133713000","1784826"
"499790","GS피앤엘","KOSPI",,"42450","450","1.07","42050","43100","41600","125319","5295420675","841819200450","19830841"
"297890","HB솔루션","KOSDAQ","우량기업부","2175","25","1.16","2170","2200","2120","503536","1081733220","159081487950","73140914"
"440290","HB인베스트먼트","KOSDAQ","중견기업부","2025","55","2.79","1980","2040","1960","202641","407524331","55700520750","27506430"
