종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","벤처기업부","1675","-19","-1.12","1690","1705","1671","156254","263269059","88873892000","53059040"
"095570","AJ네트웍스","KOSPI",,"4550","-325","-6.67","4700","4760","4285","825221","3802453042","205900053450","45252759"
"006840","AK홀딩스","KOSPI",,"8930","-70","-0.78","9160","9160","8860","23765","212552385","118300719730","13247561"
"054620","APS","KOSDAQ","중견기업부","4130","-50","-1.20","4175","4175","4080","9035","37060995","82163132730","19894221"
"265520","AP시스템","KOSDAQ","우량기업부","19830","-420","-2.07","20100","20100","19670","112812","2231095540","298457780430","15050821"
"211270","AP위성","KOSDAQ","우량기업부","10690","-70","-0.65","10860","10860","10650","47938","512638670","161229829760","15082304"
"139050","BF랩스","KOSDAQ","관리종목(소속부없음)","2805","0","0.00","0","0","0","0","0","24247965555","8644551"
"027410","BGF","KOSPI",,"4055","-35","-0.86","4090","4090","4020","101070","408824844","388131587505","95716791"
"282330","BGF리테일","KOSPI",,"110800","-1200","-1.07","110900","112300","110100","15607","1726126850","1915056784800","17283906"
"126600","BGF에코머티리얼즈","KOSDAQ","우량기업부","3445","65","1.92","3390","3465","3355","109089","371160301","216231967055","62766899"
"138930","BNK금융지주","KOSPI",,"15510","-90","-0.58","15510","15600","15110","951755","14697830460","4876734138540","314425154"
"001460","BYC","KOSPI",,"42700","-1500","-3.39","44200","45200","42700","7735","336250400","266710605000","6246150"
"001465","BYC우","KOSPI",,"25050","-200","-0.79","25200","25300","24750","3679","92058950","53953942500","2153850"
"083790","CG인바이츠","KOSDAQ","벤처기업부","1560","-9","-0.57","1568","1568","1533","31701","49113151","119954923920","76894182"
"001040","CJ","KOSPI",,"187800","0","0.00","186500","188400","184600","149317","27940303150","5479440224400","29176998"
"079160","CJ CGV","KOSPI",,"5540","-170","-2.98","5670","5700","5490","1097445","6123421570","917321449060","165581489"
"035760","CJ ENM","KOSDAQ GLOBAL","중견기업부","62000","-1800","-2.82","64000","64200","61800","61291","3823361200","1359607548000","21929154"
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","9250","10","0.11","9240","9300","9000","11285","103320890","120855523500","13065462"
"00104K","CJ4우(전환)","KOSPI",,"161800","1000","0.62","161400","161800","157600","6586","1054287400","683849641600","4226512"
"000120","CJ대한통운","KOSPI",,"99300","-1200","-1.19","100500","101000","97000","86527","8597048750","2265265759200","22812344"
"011150","CJ씨푸드","KOSPI",,"2710","-25","-0.91","2730","2740","2690","285081","771220321","97372394830","35930773"
"011155","CJ씨푸드1우","KOSPI",,"14680","-100","-0.68","14520","14750","14520","258","3771750","2936000000","200000"
"001045","CJ우","KOSPI",,"93700","1500","1.63","92300","93800","90800","6487","599579800","211782895100","2260223"
"097950","CJ제일제당","KOSPI",,"211000","-2500","-1.17","214000","214000","210500","39165","8277785250","3176433246000","15054186"
"097955","CJ제일제당 우","KOSPI",,"139900","800","0.58","139100","140500","138300","4111","572351600","185707876700","1327433"
"051500","CJ프레시웨이","KOSDAQ","우량기업부","26500","-450","-1.67","26900","27000","26350","8982","238522875","314597029000","11871586"
"058820","CMG제약","KOSDAQ","중견기업부","1999","10","0.50","2000","2035","1985","724554","1453598087","295536523817","147842183"
"056730","CNT85","KOSDAQ","벤처기업부","648","1","0.15","647","651","642","6157","3980389","48024048528","74111186"
"000480","CR홀딩스","KOSPI",,"5030","-10","-0.20","5030","5050","5010","9049","45561580","235859164700","46890490"
"065770","CS","KOSDAQ","벤처기업부","804","-14","-1.71","818","836","798","76700","62133878","15606548520","19411130"
"083660","CSA 코스믹","KOSDAQ","중견기업부","592","-57","-8.78","645","649","591","688731","424827888","37195039728","62829459"
"000590","CS홀딩스","KOSPI",,"80000","-400","-0.50","81500","81500","79200","430","34376000","92358560000","1154482"
"012030","DB","KOSPI",,"1560","45","2.97","1516","1566","1514","1050658","1626918738","313831335480","201173933"
"477760","DB금융스팩12호","KOSDAQ","SPAC(소속부없음)","2105","5","0.24","2100","2105","2095","1450","3050010","12293200000","5840000"
"005830","DB손해보험","KOSPI",,"125400","-2000","-1.57","127100","128200","124300","138092","17300699750","8878320000000","70800000"
"016610","DB증권","KOSPI",,"10740","-110","-1.01","10890","10990","10690","79990","865400950","455874217860","42446389"
"000990","DB하이텍","KOSPI",,"64400","-1200","-1.83","65400","65400","63200","361893","23220309100","2801695467200","43504588"
"099520","DGI","KOSDAQ","관리종목(소속부없음)","1284","0","0.00","0","0","0","0","0","58141862016","45281824"
"000300","DH오토넥스","KOSPI",,"1984","0","0.00","0","0","0","0","0","164422234240","82874110"
"290120","DH오토리드","KOSDAQ","우량기업부","2430","-10","-0.41","2450","2450","2385","12604","30311970","38452925070","15824249"
"025440","DH오토웨어","KOSDAQ","중견기업부","708","-3","-0.42","719","719","693","64715","45420129","34537106592","48781224"
"001530","DI동일","KOSPI",,"20250","-750","-3.57","21050","21050","20000","57877","1176862100","399517920000","19729280"
"015590","DKME","KOSPI",,"515","0","0.00","0","0","0","0","0","122045495160","236981544"
"000210","DL","KOSPI",,"39350","-350","-0.88","39500","39700","38900","32341","1265122375","824614035400","20955884"
"000215","DL우","KOSPI",,"25950","-300","-1.14","26250","26450","25000","5980","154371050","43754684250","1686115"
"375500","DL이앤씨","KOSPI",,"39850","-550","-1.36","40300","40550","39850","233123","9337378825","1541940876550","38693623"
"37550L","DL이앤씨2우(전환)","KOSPI",,"29800","250","0.85","29950","30000","29400","1260","37333700","62936139800","2111951"
"37550K","DL이앤씨우","KOSPI",,"22350","-150","-0.67","22500","22600","22200","6033","134876250","47245329750","2113885"
"068790","DMS","KOSDAQ","관리종목(소속부없음)","6330","0","0.00","0","0","0","0","0","149939488590","23687123"
"007340","DN오토모티브","KOSPI",,"24950","100","0.40","24850","25200","24550","119429","2970744400","1459846081750","58510865"
"004840","DRB동일","KOSPI",,"4860","0","0.00","4870","4880","4825","4583","22219975","96859800000","19930000"
"241520","DSC인베스트먼트","KOSDAQ","중견기업부","7040","-50","-0.71","7070","7090","6940","256609","1799180735","190080000000","27000000"
"155660","DSR","KOSPI",,"3910","-20","-0.51","3900","3960","3895","18645","73247975","62560000000","16000000"
"069730","DSR제강","KOSPI",,"3725","15","0.40","3710","3735","3690","12085","44921113","53640000000","14400000"
"017860","DS단석","KOSPI",,"19600","-240","-1.21","19940","19940","19550","38923","765924330","344650555200","17584212"
"180400","DXVX","KOSDAQ","관리종목(소속부없음)","1750","-38","-2.13","1788","1804","1705","177831","308495095","86134006000","49219432"
"092780","DYP","KOSPI",,"3490","-5","-0.14","3490","3495","3415","4972","17135470","45957925400","13168460"
"017940","E1","KOSPI",,"86100","-1300","-1.49","87400","87400","85400","10264","883411400","590646000000","6860000"
"418620","E8","KOSDAQ","기술성장기업부","1917","-52","-2.64","1969","1970","1910","96107","185871681","24634364409","12850477"
"245620","EDGC","KOSDAQ","관리종목(소속부없음)","415","0","0.00","0","0","0","0","0","57474989665","138493951"
"037370","EG","KOSDAQ","벤처기업부","5690","-20","-0.35","5710","5850","5690","19831","114275335","49076090680","8624972"
"278990","EMB","KONEX","일반기업부","3200","300","10.34","3200","3200","3200","65","208000","15477859200","4836831"
"365550","ESR켄달스퀘어리츠","KOSPI",,"4435","5","0.11","4430","4450","4380","318300","1406487427","1091404715000","246089000"
"050120","ES큐브","KOSDAQ","중견기업부","3100","0","0.00","3100","3100","3020","16485","50373950","42048666600","13564086"
"383220","F&F","KOSPI",,"74400","-100","-0.13","73400","74500","72300","64509","4751413750","2850046380000","38307075"
"007700","F&F홀딩스","KOSPI",,"21000","-100","-0.47","21200","21200","20600","22790","475864850","821401707000","39114367"
"214270","FSN","KOSDAQ","중견기업부","1968","-42","-2.09","2010","2025","1940","144681","287168730","85983807312","43690959"
"130500","GH신소재","KOSDAQ","우량기업부","2625","35","1.35","2565","2630","2555","85997","223717365","38180761500","14545052"
"114090","GKL","KOSPI",,"14250","-700","-4.68","14890","14950","14180","370013","5336721880","881443297500","61855670"
"900290","GRT","KOSDAQ","외국기업(소속부없음)","3140","15","0.48","3200","3200","3080","297384","936028470","253869000000","80850000"
"078930","GS","KOSPI",,"58700","200","0.34","58500","58900","58100","181556","10625717150","5454132688600","92915378"
"083450","GST","KOSDAQ","우량기업부","25650","-750","-2.84","26300","26350","25450","164974","4239367575","472729500000","18430000"
"006360","GS건설","KOSPI",,"19080","-90","-0.47","19170","19250","18920","183370","3488898665","1632894829200","85581490"
"001250","GS글로벌","KOSPI",,"2400","-15","-0.62","2395","2405","2380","251403","600825235","198081033600","82533764"
"007070","GS리테일","KOSPI",,"22400","-450","-1.97","22700","22850","22150","202298","4519167375","1872806096000","83607415"
"078935","GS우","KOSPI",,"48900","-100","-0.20","48900","49100","48800","2389","116919150","87277991400","1784826"
"499790","GS피앤엘","KOSPI",,"48850","-1450","-2.88","49750","50200","47350","165520","7990136275","968736582850","19830841"
"297890","HB솔루션","KOSDAQ","우량기업부","2120","-65","-2.97","2185","2185","2105","390192","831691846","155058737680","73140914"
"440290","HB인베스트먼트","KOSDAQ","중견기업부","2195","-15","-0.68","2215","2225","2187","63179","139246103","60376613850","27506430"
"078150","HB테크놀러지","KOSDAQ","우량기업부","2025","-50","-2.41","2090","2090","1971","1023592","2058493195","187749729900","92715916"
"225530","HC보광산업","KOSDAQ","우량기업부","2910","10","0.34","2905","2930","2905","20253","59077484","105745695570","36338727"
"060560","HC홈센타","KOSDAQ","중견기업부","722","4","0.56","730","730","717","8814","6334074","92177397050","127669525"
"012630","HDC","KOSPI",,"17800","-110","-0.61","17850","18280","17590","103461","1839235805","1063402633800","59741721"
"039570","HDC랩스","KOSPI",,"8500","-60","-0.70","8560","8560","8470","4390","37274350","220639608500","25957601"
"089470","HDC현대EP","KOSPI",,"4185","15","0.36","4170","4200","4135","62187","259088591","133501500000","31900000"
"294870","HDC현대산업개발","KOSPI",,"19580","-80","-0.41","19700","19700","19480","151979","2970579030","1290465521400","65907330"
"009540","HD한국조선해양","KOSPI",,"419000","-4000","-0.95","419000","424000","412500","103706","43191445250","29653935604000","70773116"
"267250","HD현대","KOSPI",,"207500","7000","3.49","206500","209000","201000","215266","44135158307","16391065137500","78993085"
"267270","HD현대건설기계","KOSPI",,"95500","100","0.10","95500","95500","93200","88152","8312178200","1657652041500","17357613"
"443060","HD현대마린솔루션","KOSPI",,"188600","800","0.43","188900","189900","186200","100170","18816450050","8454789006000","44829210"
"071970","HD현대마린엔진","KOSPI",,"82000","-700","-0.85","82300","83000","79900","189049","15363863200","2781562590000","33921495"
"010620","HD현대미포","KOSPI",,"223000","0","0.00","0","0","0","0","0","8907099227000","39942149"
"322000","HD현대에너지솔루션","KOSPI",,"53500","-700","-1.29","54300","54500","53400","38315","2059499650","599200000000","11200000"
"042670","HD현대인프라코어","KOSPI",,"14830","50","0.34","14610","14830","14480","722467","10575444530","2800663859540","188851238"
"267260","HD현대일렉트릭","KOSPI",,"798000","-22000","-2.68","819000","829000","787000","121443","96794619000","28765613730000","36047135"
"329180","HD현대중공업","KOSPI",,"527000","-7000","-1.31","535000","537000","518000","119587","62516133500","46783432132000","88773116"
"097230","HJ중공업","KOSPI",,"21800","-600","-2.68","22400","22400","21600","1100044","24069651900","1968438499200","90295344"
"195940","HK이노엔","KOSDAQ GLOBAL","우량기업부","52600","-300","-0.57","52300","53300","51600","215414","11256536350","1490152266600","28329891"
"014790","HL D&I","KOSPI",,"2660","15","0.57","2645","2680","2625","91379","242659235","100703878660","37858601"
"028300","HLB","KOSDAQ","중견기업부","48300","-300","-0.62","49050","49100","47700","410040","19752417275","6367539213000","131833110"
"003580","HLB글로벌","KOSPI",,"2185","-45","-2.02","2230","2230","2150","142448","310812553","110699758425","50663505"
"278650","HLB바이오스텝","KOSDAQ","중견기업부","1509","-20","-1.31","1534","1536","1498","208037","314859133","131291358351","87005539"
"343090","HLB사이언스","KONEX","일반기업부","2050","5","0.24","2040","2095","2000","553","1132765","38867491600","18959752"
"067630","HLB생명과학","KOSDAQ","투자주의환기종목(소속부없음)","3855","-75","-1.91","3970","3970","3835","465067","1797128996","469990258590","121917058"
"024850","HLB이노베이션","KOSDAQ","중견기업부","1724","-30","-1.71","1775","1775","1711","155172","267487302","249180257088","144536112"
"187420","HLB제넥스","KOSDAQ","기술성장기업부","2790","-90","-3.13","2880","2915","2700","66292","186538595","81289110780","29135882"
"047920","HLB제약","KOSDAQ","기술성장기업부","15590","-330","-2.07","16000","16000","15550","96414","1511733000","511341960040","32799356"
"115450","HLB테라퓨틱스","KOSDAQ","중견기업부","3345","-10","-0.30","3380","3430","3285","225047","753910197","282258669735","84382263"
"046210","HLB파나진","KOSDAQ","벤처기업부","1671","-6","-0.36","1693","1709","1651","37812","62901790","75406745778","45126718"
"196300","HLB펩","KOSDAQ","관리종목(소속부없음)","6820","10","0.15","6810","6940","6610","24188","164459950","63380974360","9293398"
"204320","HL만도","KOSPI",,"54100","1900","3.64","55500","58000","53400","2488230","139634949800","2540380192000","46957120"
"060980","HL홀딩스","KOSPI",,"52200","4300","8.98","49350","53800","48650","355427","18551049000","480943499400","9213477"
"011200","HMM","KOSPI",,"20100","-50","-0.25","20050","20500","19960","1011957","20367188250","18959083197000","943237970"
"403870","HPSP","KOSDAQ GLOBAL","우량기업부","30550","-450","-1.45","30750","31100","30100","360885","10989002425","2550881252400","83498568"
"036640","HRS","KOSDAQ","우량기업부","5490","-10","-0.18","5500","5500","5460","43380","237753480","89787852000","16354800"
"035000","HS애드","KOSPI",,"9300","10","0.11","9270","9300","9190","19537","180482630","154076903700","16567409"
"002460","HS화성","KOSPI",,"12560","60","0.48","12500","12610","12410","30541","381974135","127484000000","10150000"
"487570","HS효성","KOSPI",,"65000","-100","-0.15","66000","66300","64400","10626","691309600","242185255000","3725927"
"298050","HS효성첨단소재","KOSPI",,"198600","-1300","-0.65","198600","200500","196900","7705","1526685500","889717672800","4479948"
"448760","IBKS제22호스팩","KOSDAQ","SPAC(소속부없음)","5040","290","6.11","4750","5230","4620","687186","3401455040","22327200000","4430000"
"467930","IBKS제23호스팩","KOSDAQ","SPAC(소속부없음)","2210","0","0.00","2200","2215","2200","1551","3419420","9348300000","4230000"
"469480","IBKS제24호스팩","KOSDAQ","SPAC(소속부없음)","2230","-10","-0.45","2240","2240","2205","2895","6448155","9432900000","4230000"
"003560","IHQ","KOSPI",,"10760","0","0.00","0","0","0","0","0","76220934800","7083730"
"015360","INVENI","KOSPI",,"66000","-100","-0.15","66100","66700","65100","8842","582599250","376200000000","5700000"
"095340","ISC","KOSDAQ GLOBAL","우량기업부","110300","-3700","-3.25","110500","114500","107100","285798","31281986250","2338035497400","21197058"
"175330","JB금융지주","KOSPI",,"24700","-200","-0.80","24800","25250","24350","445616","10968866575","4690149644700","189884601"
"950170","JTC","KOSDAQ","외국기업(소속부없음)","3845","-15","-0.39","3865","3900","3780","106186","405881501","198964708060","51746348"
"234080","JW생명과학","KOSPI",,"13750","-1020","-6.91","14770","14770","13720","249028","3483372670","217725117500","15834554"
"067290","JW신약","KOSDAQ","중견기업부","1445","-6","-0.41","1453","1460","1433","75094","108260196","77128502070","53376126"
"001060","JW중외제약","KOSPI",,"26350","150","0.57","26150","26400","25650","63800","1665868000","613584255500","23285930"
"001067","JW중외제약2우B","KOSPI",,"60600","-900","-1.46","60600","60600","60500","15","908600","12724363800","209973"
"001065","JW중외제약우","KOSPI",,"27250","-500","-1.80","27750","27750","27250","153","4184200","9318164750","341951"
"096760","JW홀딩스","KOSPI",,"3670","-35","-0.94","3705","3740","3645","80499","295853435","271304537140","73924942"
"035900","JYP Ent.","KOSDAQ GLOBAL","우량기업부","67700","-900","-1.31","68600","68800","67000","181961","12283445400","2405549708400","35532492"
"318000","KBG","KOSDAQ","벤처기업부","4565","-35","-0.76","4585","4615","4455","28439","128839820","39899117995","8740223"
"008970","KBI동양철관","KOSPI",,"1857","-55","-2.88","1908","1910","1850","1034940","1946776304","148375984299","79900907"
"024840","KBI메탈","KOSDAQ","중견기업부","1683","-23","-1.35","1706","1707","1680","121041","204251635","58752181917","34909199"
"105560","KB금융","KOSPI",,"128800","-2900","-2.20","130600","131200","128200","888091","114742727850","49132318866400","381462103"
"415640","KB발해인프라","KOSPI",,"9780","-10","-0.10","9830","9830","9690","152208","1484241170","1198495459440","122545548"
"432320","KB스타리츠","KOSPI",,"3675","25","0.68","3645","3675","3605","117546","426371076","372697497375","101414285"
"024120","KB오토시스","KOSDAQ","중견기업부","3445","-10","-0.29","3455","3495","3435","19713","68170615","39617500000","11500000"
"455250","KB제25호스팩","KOSDAQ","SPAC(소속부없음)","2105","0","0.00","2105","2105","2095","27371","57362385","9062025000","4305000"
"464680","KB제27호스팩","KOSDAQ","SPAC(소속부없음)","2075","5","0.24","2065","2075","2065","44741","92759251","26777875000","12905000"
"478390","KB제29호스팩","KOSDAQ","SPAC(소속부없음)","2075","5","0.24","2060","2085","2060","6578","13643565","12906500000","6220000"
"486630","KB제30호스팩","KOSDAQ","SPAC(소속부없음)","2050","10","0.49","2050","2050","2040","6362","13035805","10885500000","5310000"
"492220","KB제31호스팩","KOSDAQ","SPAC(소속부없음)","2025","15","0.75","2005","2025","2005","12543","25358430","12575250000","6210000"
"0037T0","KB제32호스팩","KOSDAQ","SPAC(소속부없음)","2025","10","0.50","2010","2025","2000","14925","30056177","12818250000","6330000"
"0072Z0","KB제33호스팩","KOSDAQ","SPAC(소속부없음)","2000","6","0.30","1995","2005","1994","99585","199030507","15770000000","7885000"
"002380","KCC","KOSPI",,"431000","-6000","-1.37","434000","436000","426500","16234","6988877750","3830069001000","8886471"
"021320","KCC건설","KOSDAQ","우량기업부","5180","0","0.00","5230","5280","5090","38256","199634510","110852000000","21400000"
"344820","KCC글라스","KOSPI",,"27450","-150","-0.54","27600","27650","27300","21814","597753700","438390554400","15970512"
"009070","KCTC","KOSPI",,"5320","-80","-1.48","5360","5490","5290","170323","915257180","159600000000","30000000"
