종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","벤처기업부","1702","-15","-0.87","1717","1734","1690","185641","318717991","90306486080","53059040"
"095570","AJ네트웍스","KOSPI",,"4705","-10","-0.21","4795","4795","4670","132416","624764625","212914231095","45252759"
"006840","AK홀딩스","KOSPI",,"8990","-10","-0.11","9130","9130","8850","14176","126365795","119095573390","13247561"
"054620","APS","KOSDAQ","중견기업부","3865","-60","-1.53","3965","4950","3775","1561509","7079997522","76891164165","19894221"
"265520","AP시스템","KOSDAQ","우량기업부","18600","540","2.99","18370","18880","17960","115174","2137997470","279945270600","15050821"
"211270","AP위성","KOSDAQ","우량기업부","11350","-200","-1.73","11650","11790","11350","26181","301323375","171184150400","15082304"
"139050","BF랩스","KOSDAQ","관리종목(소속부없음)","2805","0","0.00","0","0","0","0","0","24247965555","8644551"
"027410","BGF","KOSPI",,"4005","10","0.25","3995","4065","3960","53763","214522147","383345747955","95716791"
"282330","BGF리테일","KOSPI",,"110200","-2300","-2.04","112300","112800","110200","30505","3388907700","1904686441200","17283906"
"126600","BGF에코머티리얼즈","KOSDAQ","우량기업부","3010","10","0.33","3010","3095","2985","64249","195182013","188928365990","62766899"
"138930","BNK금융지주","KOSPI",,"14810","-110","-0.74","15060","15190","14730","907026","13473920820","4656636530740","314425154"
"001460","BYC","KOSPI",,"41150","0","0.00","41950","41950","40300","6182","252513300","257029072500","6246150"
"001465","BYC우","KOSPI",,"23800","300","1.28","23500","23900","23300","3263","76972550","51261630000","2153850"
"083790","CG인바이츠","KOSDAQ","벤처기업부","1420","-17","-1.18","1445","1445","1409","70328","100138415","109189738440","76894182"
"001040","CJ","KOSPI",,"182800","-2800","-1.51","190400","196500","182800","299453","56435513850","5333555234400","29176998"
"079160","CJ CGV","KOSPI",,"5550","-70","-1.25","5620","5830","5480","892797","5018853510","918977130750","165581465"
"035760","CJ ENM","KOSDAQ GLOBAL","중견기업부","63800","-700","-1.09","65300","65500","63800","24972","1608371100","1399080025200","21929154"
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","8660","-10","-0.12","8670","8740","8610","6635","57595570","113146900920","13065462"
"00104K","CJ4우(전환)","KOSPI",,"158300","-1400","-0.88","159700","164500","156500","12278","1962843100","669056849600","4226512"
"000120","CJ대한통운","KOSPI",,"93000","-1500","-1.59","95500","95800","92800","61810","5782318600","2121547992000","22812344"
"011150","CJ씨푸드","KOSPI",,"2740","-5","-0.18","2760","2855","2735","1405296","3906273361","98450318020","35930773"
"011155","CJ씨푸드1우","KOSPI",,"15010","-350","-2.28","15350","15350","15010","226","3413740","3002000000","200000"
"001045","CJ우","KOSPI",,"91700","-1200","-1.29","94000","96900","90900","17215","1606802200","207262449100","2260223"
"097950","CJ제일제당","KOSPI",,"214500","-3500","-1.61","219500","220000","214500","80257","17363432250","3229122897000","15054186"
"097955","CJ제일제당 우","KOSPI",,"136900","-400","-0.29","136800","137700","136300","5898","807297550","181725577700","1327433"
"051500","CJ프레시웨이","KOSDAQ","우량기업부","26400","-750","-2.76","27150","27200","26400","12616","337582400","313409870400","11871586"
"058820","CMG제약","KOSDAQ","중견기업부","1774","2","0.11","1850","1850","1769","542749","970633994","262272032642","147842183"
"056730","CNT85","KOSDAQ","벤처기업부","660","-2","-0.30","660","667","653","23913","15730156","48913382760","74111186"
"000480","CR홀딩스","KOSPI",,"4935","5","0.10","4940","4950","4900","15073","74165595","231404568150","46890490"
"065770","CS","KOSDAQ","벤처기업부","791","-7","-0.88","798","849","785","126175","100900335","15354203830","19411130"
"083660","CSA 코스믹","KOSDAQ","중견기업부","560","-43","-7.13","604","610","533","890171","501558663","34298421360","61247181"
"000590","CS홀딩스","KOSPI",,"77500","1300","1.71","76200","77800","75900","753","57743900","89472355000","1154482"
"012030","DB","KOSPI",,"1361","-15","-1.09","1381","1393","1350","339562","465415218","273797722813","201173933"
"477760","DB금융스팩12호","KOSDAQ","SPAC(소속부없음)","2100","0","0.00","2095","2105","2095","2279","4785850","12264000000","5840000"
"005830","DB손해보험","KOSPI",,"120400","1100","0.92","120400","121900","118100","256617","30733141200","8524320000000","70800000"
"016610","DB증권","KOSPI",,"9950","-180","-1.78","10180","10280","9640","163570","1642475805","422341570550","42446389"
"000990","DB하이텍","KOSPI",,"60800","-1100","-1.78","62000","63200","60600","354727","21842467500","2645078950400","43504588"
"099520","DGI","KOSDAQ","관리종목(소속부없음)","1284","0","0.00","0","0","0","0","0","58141862016","45281824"
"060900","DGP","KOSDAQ","중견기업부","1255","-20","-1.57","1271","1291","1215","101855","126418090","37537971170","29910734"
"000300","DH오토넥스","KOSPI",,"1984","0","0.00","0","0","0","0","0","162944308992","82129188"
"290120","DH오토리드","KOSDAQ","우량기업부","2405","5","0.21","2410","2450","2335","14580","35021310","38057318845","15824249"
"025440","DH오토웨어","KOSDAQ","중견기업부","720","-14","-1.91","731","754","720","46374","33870492","35122481280","48781224"
"001530","DI동일","KOSPI",,"17470","-280","-1.58","17750","17960","17360","399570","6991086450","344670521600","19729280"
"015590","DKME","KOSPI",,"515","0","0.00","0","0","0","0","0","122045495160","236981544"
"000210","DL","KOSPI",,"38700","-150","-0.39","39700","39900","38400","67287","2610567100","810992710800","20955884"
"000215","DL우","KOSPI",,"25400","-650","-2.50","26400","26450","25350","6541","168342900","42827321000","1686115"
"375500","DL이앤씨","KOSPI",,"38700","-500","-1.28","40050","40300","38700","227244","8908477300","1497443210100","38693623"
"37550L","DL이앤씨2우(전환)","KOSPI",,"28800","350","1.23","28500","29300","28500","1410","40894125","60824188800","2111951"
"37550K","DL이앤씨우","KOSPI",,"21650","-50","-0.23","22350","22350","21550","7719","167924725","45765610250","2113885"
"068790","DMS","KOSDAQ","관리종목(소속부없음)","6330","0","0.00","0","0","0","0","0","149939488590","23687123"
"007340","DN오토모티브","KOSPI",,"23850","700","3.02","23450","24300","23350","125817","2999968125","1395484130250","58510865"
"004840","DRB동일","KOSPI",,"4835","55","1.15","4755","4930","4730","32465","157660208","96361550000","19930000"
