종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","벤처기업부","1641","1","0.06","1653","1653","1632","130893","214582517","87069884640","53059040"
"095570","AJ네트웍스","KOSPI",,"4720","-10","-0.21","4730","4750","4635","114759","541340739","213593022480","45252759"
"006840","AK홀딩스","KOSPI",,"9020","30","0.33","8990","9020","8940","4138","37117930","119493000220","13247561"
"054620","APS","KOSDAQ","중견기업부","4185","0","0.00","4200","4200","4100","7681","31746143","76979814885","18394221"
"265520","AP시스템","KOSDAQ","우량기업부","19970","90","0.45","20050","20050","19710","34735","690490840","300564895370","15050821"
"211270","AP위성","KOSDAQ","우량기업부","11350","530","4.90","11140","11440","11020","215508","2426358185","171184150400","15082304"
"139050","BF랩스","KOSDAQ","관리종목(소속부없음)","2805","0","0.00","0","0","0","0","0","24247965555","8644551"
"027410","BGF","KOSPI",,"4110","70","1.73","4040","4110","4040","129803","530497473","393396011010","95716791"
"282330","BGF리테일","KOSPI",,"110100","500","0.46","110600","111600","109500","26221","2887985000","1902958050600","17283906"
"126600","BGF에코머티리얼즈","KOSDAQ","우량기업부","3650","45","1.25","3670","3670","3585","107375","389068775","229099181350","62766899"
"138930","BNK금융지주","KOSPI",,"15260","120","0.79","15350","15450","15100","1401139","21392356060","4798127850040","314425154"
"001460","BYC","KOSPI",,"47850","250","0.53","49000","53700","47400","41144","2015726075","298878277500","6246150"
"001465","BYC우","KOSPI",,"26600","250","0.95","26600","27400","26350","10973","294081425","57292410000","2153850"
"083790","CG인바이츠","KOSDAQ","벤처기업부","1590","35","2.25","1580","1634","1556","239799","381433116","122261749380","76894182"
"001040","CJ","KOSPI",,"180500","-1700","-0.93","184500","185100","179900","96608","17559822400","5266448139000","29176998"
"079160","CJ CGV","KOSPI",,"6250","120","1.96","6150","6270","6080","769194","4762256870","1034884306250","165581489"
"035760","CJ ENM","KOSDAQ GLOBAL","중견기업부","61600","200","0.33","61800","62300","61300","20146","1245445732","1350835886400","21929154"
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","9200","-160","-1.71","9360","9450","9150","13233","122008015","120202250400","13065462"
"00104K","CJ4우(전환)","KOSPI",,"158700","-1900","-1.18","160600","162000","157400","6591","1045701800","670747454400","4226512"
"000120","CJ대한통운","KOSPI",,"95300","1700","1.82","94500","95900","94000","54695","5188753950","2174016383200","22812344"
"011150","CJ씨푸드","KOSPI",,"2720","0","0.00","2735","2745","2705","176810","480885408","97731702560","35930773"
"011155","CJ씨푸드1우","KOSPI",,"15400","-320","-2.04","15640","15640","15190","1213","18638700","3080000000","200000"
"001045","CJ우","KOSPI",,"92400","200","0.22","92100","93700","92100","1654","153122200","208844605200","2260223"
"097950","CJ제일제당","KOSPI",,"209000","3500","1.70","206000","209000","206000","38458","7996499750","3146324874000","15054186"
"097955","CJ제일제당 우","KOSPI",,"139000","800","0.58","138200","140400","137800","5866","811601100","184513187000","1327433"
"051500","CJ프레시웨이","KOSDAQ","우량기업부","27400","200","0.74","27500","27500","26900","27689","752257200","325281456400","11871586"
"058820","CMG제약","KOSDAQ","중견기업부","1985","-6","-0.30","1992","1998","1973","484601","961275031","293466733255","147842183"
"056730","CNT85","KOSDAQ","벤처기업부","645","0","0.00","657","657","631","23280","14841479","47801714970","74111186"
"000480","CR홀딩스","KOSPI",,"5030","10","0.20","5030","5060","4910","46848","235979525","235859164700","46890490"
"065770","CS","KOSDAQ","벤처기업부","809","0","0.00","808","809","801","62893","50732270","15703604170","19411130"
"083660","CSA 코스믹","KOSDAQ","중견기업부","576","7","1.23","569","582","562","147172","83309024","36189768384","62829459"
"000590","CS홀딩스","KOSPI",,"80100","-100","-0.12","80500","81600","79600","302","24211800","92474008200","1154482"
"012030","DB","KOSPI",,"1550","16","1.04","1535","1550","1520","297064","456765126","311819596150","201173933"
"477760","DB금융스팩12호","KOSDAQ","SPAC(소속부없음)","2105","15","0.72","2090","2105","2085","48592","102052195","12293200000","5840000"
"005830","DB손해보험","KOSPI",,"122800","2700","2.25","121300","123200","120000","151231","18537856900","8694240000000","70800000"
"016610","DB증권","KOSPI",,"10760","280","2.67","10480","10780","10480","62362","662197960","456723145640","42446389"
"000990","DB하이텍","KOSPI",,"67600","1100","1.65","66500","67600","65700","388777","26006559600","2940910148800","43504588"
"099520","DGI","KOSDAQ","관리종목(소속부없음)","1284","0","0.00","0","0","0","0","0","58141862016","45281824"
"000300","DH오토넥스","KOSPI",,"1984","0","0.00","0","0","0","0","0","164422234240","82874110"
"290120","DH오토리드","KOSDAQ","우량기업부","2405","0","0.00","2430","2430","2390","10954","26282740","38057318845","15824249"
"025440","DH오토웨어","KOSDAQ","중견기업부","720","-5","-0.69","725","730","714","50160","36138706","35122481280","48781224"
"001530","DI동일","KOSPI",,"21300","-1450","-6.37","23750","23800","21000","250856","5409945925","420233664000","19729280"
"015590","DKME","KOSPI",,"515","0","0.00","0","0","0","0","0","122045495160","236981544"
"000210","DL","KOSPI",,"41100","950","2.37","40700","41450","40150","70073","2855257500","861286832400","20955884"
"000215","DL우","KOSPI",,"26500","600","2.32","26500","26500","25950","10109","265807225","44682047500","1686115"
"375500","DL이앤씨","KOSPI",,"45100","2250","5.25","44000","45350","43650","540154","24079037525","1745082397300","38693623"
"37550L","DL이앤씨2우(전환)","KOSPI",,"32350","550","1.73","31800","32600","31800","2842","92166500","68321614850","2111951"
"37550K","DL이앤씨우","KOSPI",,"23800","800","3.48","23500","23850","23200","12634","298734750","50310463000","2113885"
"068790","DMS","KOSDAQ","관리종목(소속부없음)","6330","0","0.00","0","0","0","0","0","149939488590","23687123"
"007340","DN오토모티브","KOSPI",,"27750","200","0.73","27500","28050","27300","129954","3603128525","1623676503750","58510865"
"004840","DRB동일","KOSPI",,"4815","0","0.00","4815","4835","4795","7378","35526985","95962950000","19930000"
"241520","DSC인베스트먼트","KOSDAQ","중견기업부","7320","130","1.81","7270","7320","7140","246285","1774368380","197640000000","27000000"
"155660","DSR","KOSPI",,"3900","15","0.39","3885","3900","3840","6304","24430900","62400000000","16000000"
"069730","DSR제강","KOSPI",,"3845","15","0.39","3830","3850","3800","18721","71821000","55368000000","14400000"
"017860","DS단석","KOSPI",,"19270","150","0.78","19080","19320","19080","40485","776464550","338847765240","17584212"
"180400","DXVX","KOSDAQ","관리종목(소속부없음)","1775","-63","-3.43","1838","1840","1730","128329","228181796","87364491800","49219432"
"092780","DYP","KOSPI",,"3420","-10","-0.29","3425","3425","3360","9595","32413015","45036133200","13168460"
"017940","E1","KOSPI",,"86000","2300","2.75","84100","86300","84100","12318","1051088350","589960000000","6860000"
"418620","E8","KOSDAQ","기술성장기업부","1680","25","1.51","1673","1696","1624","197978","329550062","21588801360","12850477"
"245620","EDGC","KOSDAQ","관리종목(소속부없음)","415","0","0.00","0","0","0","0","0","57474989665","138493951"
"037370","EG","KOSDAQ","벤처기업부","5670","0","0.00","5670","5710","5610","15261","86072680","48903591240","8624972"
"278990","EMB","KONEX","일반기업부","2800","50","1.82","2600","3000","2400","2273","5931035","22581375600","8064777"
"365550","ESR켄달스퀘어리츠","KOSPI",,"4315","-170","-3.79","4415","4500","4285","1152078","4993222663","1061874035000","246089000"
"050120","ES큐브","KOSDAQ","중견기업부","3025","40","1.34","2985","3025","2970","6619","19769195","41031360150","13564086"
"383220","F&F","KOSPI",,"73300","800","1.10","73100","73500","72200","50834","3702965550","2807908597500","38307075"
"007700","F&F홀딩스","KOSPI",,"20700","50","0.24","20300","20800","20300","9661","199043750","809667396900","39114367"
"214270","FSN","KOSDAQ","중견기업부","1907","48","2.58","1859","1910","1822","135427","250385588","83318658813","43690959"
"130500","GH신소재","KOSDAQ","우량기업부","2510","0","0.00","2510","2530","2435","23136","58064370","36508080520","14545052"
"114090","GKL","KOSPI",,"14350","210","1.49","14280","14500","14110","192474","2745539295","887628864500","61855670"
"900290","GRT","KOSDAQ","외국기업(소속부없음)","3150","-80","-2.48","3175","3200","3070","385828","1208318730","254677500000","80850000"
"078930","GS","KOSPI",,"56700","600","1.07","56500","56700","55600","287782","16156085300","5268301932600","92915378"
"083450","GST","KOSDAQ","우량기업부","25200","-100","-0.40","25350","25400","24900","189261","4766957450","464436000000","18430000"
"006360","GS건설","KOSPI",,"20600","970","4.94","19990","20650","19780","1034326","21011147370","1762978694000","85581490"
"001250","GS글로벌","KOSPI",,"2410","20","0.84","2395","2420","2390","288292","692910521","198906371240","82533764"
"007070","GS리테일","KOSPI",,"21950","50","0.23","22100","22400","21800","98724","2166822525","1835182759250","83607415"
"078935","GS우","KOSPI",,"47800","200","0.42","47700","48100","47300","14984","713976850","85314682800","1784826"
"499790","GS피앤엘","KOSPI",,"48050","600","1.26","47800","49350","47600","98939","4781055075","952871910050","19830841"
"297890","HB솔루션","KOSDAQ","우량기업부","2105","0","0.00","2100","2115","2015","667355","1378933875","153961623970","73140914"
"440290","HB인베스트먼트","KOSDAQ","중견기업부","2255","30","1.35","2220","2260","2220","203982","458693800","62026999650","27506430"
"078150","HB테크놀러지","KOSDAQ","우량기업부","1922","-19","-0.98","1945","1946","1910","539070","1034921537","178199990552","92715916"
"225530","HC보광산업","KOSDAQ","우량기업부","2885","5","0.17","2900","2900","2870","12308","35431552","104837227395","36338727"
"060560","HC홈센타","KOSDAQ","중견기업부","718","2","0.28","721","722","710","15003","10721644","91666718950","127669525"
"012630","HDC","KOSPI",,"18610","580","3.22","18070","18780","18070","175519","3249677945","1111793427810","59741721"
"039570","HDC랩스","KOSPI",,"8520","60","0.71","8480","8560","8450","10184","86632770","221158760520","25957601"
"089470","HDC현대EP","KOSPI",,"4335","-25","-0.57","4360","4450","4290","57191","249013770","138286500000","31900000"
"294870","HDC현대산업개발","KOSPI",,"21800","600","2.83","21800","22000","21250","458883","9924382000","1436779794000","65907330"
"009540","HD한국조선해양","KOSPI",,"449500","4000","0.90","448000","450000","443000","82921","37154039250","31812515642000","70773116"
"267250","HD현대","KOSPI",,"209500","6500","3.20","202000","211000","202000","186367","38841622500","16549051307500","78993085"
"267270","HD현대건설기계","KOSPI",,"107800","2200","2.08","107200","108600","105000","254172","27309222000","1871150681400","17357613"
"443060","HD현대마린솔루션","KOSPI",,"203000","2000","1.00","203500","204000","200500","67742","13677791250","9100329630000","44829210"
"071970","HD현대마린엔진","KOSPI",,"88700","2300","2.66","86700","88900","86500","123427","10870846600","3008836606500","33921495"
"010620","HD현대미포","KOSPI",,"223000","0","0.00","0","0","0","0","0","8907099227000","39942149"
"322000","HD현대에너지솔루션","KOSPI",,"57500","3300","6.09","54700","57900","54100","131392","7410655800","644000000000","11200000"
"042670","HD현대인프라코어","KOSPI",,"16940","510","3.10","16720","17060","16520","1738393","29368621805","3199139971720","188851238"
