종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","벤처기업부","1725","63","3.79","1684","1768","1682","682596","1182534289","91526844000","53059040"
"095570","AJ네트웍스","KOSPI",,"4590","-5","-0.11","4620","4675","4575","209094","965488469","207710163810","45252759"
"006840","AK홀딩스","KOSPI",,"8470","-140","-1.63","8610","8630","8470","16225","138089020","112206841670","13247561"
"054620","APS","KOSDAQ","중견기업부","4025","-70","-1.71","4070","4170","3995","56797","229991095","74036739525","18394221"
"265520","AP시스템","KOSDAQ","우량기업부","20500","400","1.99","20500","21000","20000","181763","3718256925","308541830500","15050821"
"211270","AP위성","KOSDAQ","우량기업부","14300","720","5.30","13900","15250","13190","2882297","41377034545","215676947200","15082304"
"139050","BF랩스","KOSDAQ","관리종목(소속부없음)","2805","0","0.00","0","0","0","0","0","24247965555","8644551"
"027410","BGF","KOSPI",,"3855","-5","-0.13","3860","3870","3835","74838","288128445","368988229305","95716791"
"282330","BGF리테일","KOSPI",,"103800","-400","-0.38","104500","105000","103500","33048","3437640750","1794069442800","17283906"
"126600","BGF에코머티리얼즈","KOSDAQ","우량기업부","3725","125","3.47","3630","3760","3605","109687","403711773","233806698775","62766899"
"138930","BNK금융지주","KOSPI",,"15630","-100","-0.64","15810","15980","15520","555412","8690451435","4914465157020","314425154"
"001460","BYC","KOSPI",,"41000","-450","-1.09","41450","41600","40450","6526","267089050","256092150000","6246150"
"001465","BYC우","KOSPI",,"24300","-200","-0.82","24500","25000","24200","268","6542550","52338555000","2153850"
"083790","CG인바이츠","KOSDAQ","벤처기업부","1393","-33","-2.31","1426","1439","1383","163721","228095092","107113595526","76894182"
"001040","CJ","KOSPI",,"174800","1500","0.87","173500","175800","170300","105365","18261874050","5100139250400","29176998"
"079160","CJ CGV","KOSPI",,"5810","-10","-0.17","5830","5930","5770","419008","2435037090","962028759020","165581542"
"035760","CJ ENM","KOSDAQ GLOBAL","중견기업부","63700","-3000","-4.50","67300","67500","63400","85310","5476119250","1396887109800","21929154"
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","9180","-40","-0.43","9220","9240","9050","25596","233340345","119940941160","13065462"
"00104K","CJ4우(전환)","KOSPI",,"154100","800","0.52","152300","154500","150800","6927","1061186050","651305499200","4226512"
"000120","CJ대한통운","KOSPI",,"94900","-100","-0.11","96000","96400","94100","65197","6179358450","2164891445600","22812344"
"011150","CJ씨푸드","KOSPI",,"2880","0","0.00","2895","2900","2855","485105","1394092529","103480626240","35930773"
"011155","CJ씨푸드1우","KOSPI",,"15920","190","1.21","15540","16790","15540","1840","29034790","3184000000","200000"
"001045","CJ우","KOSPI",,"90900","400","0.44","90500","92000","90000","4536","411610100","205454270700","2260223"
"097950","CJ제일제당","KOSPI",,"206500","-500","-0.24","207500","208000","206000","49524","10237933250","3108689409000","15054186"
"097955","CJ제일제당 우","KOSPI",,"138200","-100","-0.07","138500","138500","137400","4436","611598450","183451240600","1327433"
"051500","CJ프레시웨이","KOSDAQ","우량기업부","26100","-50","-0.19","26150","26350","25600","15654","406327150","309848394600","11871586"
"058820","CMG제약","KOSDAQ","중견기업부","1831","-6","-0.33","1830","1857","1830","422659","776739032","270699037073","147842183"
"056730","CNT85","KOSDAQ","벤처기업부","591","-7","-1.17","598","599","589","23824","14122569","43799710926","74111186"
"000480","CR홀딩스","KOSPI",,"4790","-15","-0.31","4765","4805","4765","22893","109371920","224605447100","46890490"
"065770","CS","KOSDAQ","벤처기업부","788","5","0.64","783","788","778","62309","48743901","15295970440","19411130"
"083660","CSA 코스믹","KOSDAQ","중견기업부","498","3","0.61","495","524","488","618171","311391447","31289070582","62829459"
"000590","CS홀딩스","KOSPI",,"76600","700","0.92","76600","77400","75600","988","75560000","88433321200","1154482"
"012030","DB","KOSPI",,"1548","35","2.31","1520","1560","1513","736203","1138286794","311417248284","201173933"
"477760","DB금융스팩12호","KOSDAQ","SPAC(소속부없음)","2130","0","0.00","2120","2130","2120","661","1407900","12439200000","5840000"
