종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","벤처기업부","1698","9","0.53","1689","1709","1680","143038","242431741","90094249920","53059040"
"095570","AJ네트웍스","KOSPI",,"4640","0","0.00","4690","4690","4595","130654","604840666","209972801760","45252759"
"006840","AK홀딩스","KOSPI",,"9000","10","0.11","9060","9060","8960","10355","93262000","119228049000","13247561"
"054620","APS","KOSDAQ","중견기업부","4190","-45","-1.06","4320","4355","4130","90908","387050062","83356785990","19894221"
"265520","AP시스템","KOSDAQ","우량기업부","19080","170","0.90","19050","19150","18640","81669","1539019885","287169664680","15050821"
"211270","AP위성","KOSDAQ","우량기업부","11360","-360","-3.07","11760","11840","11100","103779","1173849835","171334973440","15082304"
"139050","BF랩스","KOSDAQ","관리종목(소속부없음)","2805","0","0.00","0","0","0","0","0","24247965555","8644551"
"027410","BGF","KOSPI",,"3960","55","1.41","3950","3970","3905","43665","172463933","379038492360","95716791"
"282330","BGF리테일","KOSPI",,"109300","-1100","-1.00","111500","111500","108800","34431","3767945600","1889130925800","17283906"
"126600","BGF에코머티리얼즈","KOSDAQ","우량기업부","3110","120","4.01","2990","3115","2990","101885","313750715","195205055890","62766899"
"138930","BNK금융지주","KOSPI",,"15200","370","2.49","14940","15200","14870","711508","10722507455","4779262340800","314425154"
"001460","BYC","KOSPI",,"40200","900","2.29","39500","40200","39250","2387","94616500","251095230000","6246150"
"001465","BYC우","KOSPI",,"23800","50","0.21","23750","24000","23600","1721","40960200","51261630000","2153850"
"083790","CG인바이츠","KOSDAQ","벤처기업부","1470","17","1.17","1460","1481","1400","81056","118658461","113034447540","76894182"
"001040","CJ","KOSPI",,"179500","5000","2.87","177000","182900","174000","191488","34317257700","5237271141000","29176998"
"079160","CJ CGV","KOSPI",,"5610","70","1.26","5550","5650","5480","475652","2660589055","928912018650","165581465"
"035760","CJ ENM","KOSDAQ GLOBAL","중견기업부","63500","200","0.32","63600","64400","63300","27483","1749788400","1392501279000","21929154"
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","8860","230","2.67","8610","8930","8610","20301","177888030","115759993320","13065462"
"00104K","CJ4우(전환)","KOSPI",,"156400","2900","1.89","152500","156600","149100","10251","1579898900","661026476800","4226512"
"000120","CJ대한통운","KOSPI",,"92900","200","0.22","93500","94000","92200","49663","4610058550","2119266757600","22812344"
"011150","CJ씨푸드","KOSPI",,"2750","40","1.48","2720","2755","2680","461963","1262376222","98809625750","35930773"
"011155","CJ씨푸드1우","KOSPI",,"14780","-180","-1.20","14950","14950","14730","381","5624500","2956000000","200000"
"001045","CJ우","KOSPI",,"90100","1900","2.15","89400","90400","87200","2580","229506050","203646092300","2260223"
"097950","CJ제일제당","KOSPI",,"212000","2500","1.19","211000","213000","210000","54421","11535166250","3191487432000","15054186"
"097955","CJ제일제당 우","KOSPI",,"139100","2300","1.68","137600","139100","136800","5115","706233150","184645930300","1327433"
"051500","CJ프레시웨이","KOSDAQ","우량기업부","26300","-50","-0.19","26650","26650","25900","9409","245382100","312222711800","11871586"
"058820","CMG제약","KOSDAQ","중견기업부","1850","49","2.72","1804","1869","1804","1110083","2050427612","273508038550","147842183"
"056730","CNT85","KOSDAQ","벤처기업부","665","-7","-1.04","668","677","659","11042","7312665","49283938690","74111186"
"000480","CR홀딩스","KOSPI",,"4945","25","0.51","4920","4950","4905","18426","90719837","231873473050","46890490"
"065770","CS","KOSDAQ","벤처기업부","798","3","0.38","795","823","793","53635","42957153","15490081740","19411130"
"083660","CSA 코스믹","KOSDAQ","중견기업부","579","31","5.66","595","710","555","12599459","8059927231","35462117799","61247181"
"000590","CS홀딩스","KOSPI",,"78200","0","0.00","78200","78900","76500","652","50348100","90280492400","1154482"
"012030","DB","KOSPI",,"1430","56","4.08","1377","1431","1377","281447","395930156","287678724190","201173933"
"477760","DB금융스팩12호","KOSDAQ","SPAC(소속부없음)","2100","5","0.24","2095","2100","2095","1297","2719945","12264000000","5840000"
"005830","DB손해보험","KOSPI",,"125000","5100","4.25","122600","125400","120500","149030","18477453100","8850000000000","70800000"
"016610","DB증권","KOSPI",,"10170","410","4.20","9820","10200","9790","110828","1115025200","431679776130","42446389"
"000990","DB하이텍","KOSPI",,"61900","0","0.00","62500","62600","60900","285807","17584851150","2692933997200","43504588"
"099520","DGI","KOSDAQ","관리종목(소속부없음)","1284","0","0.00","0","0","0","0","0","58141862016","45281824"
"060900","DGP","KOSDAQ","중견기업부","1196","-50","-4.01","1245","1270","1190","202180","245823308","35773237864","29910734"
"000300","DH오토넥스","KOSPI",,"1984","0","0.00","0","0","0","0","0","162944308992","82129188"
"290120","DH오토리드","KOSDAQ","우량기업부","2380","-30","-1.24","2410","2415","2370","7757","18570540","37661712620","15824249"
"025440","DH오토웨어","KOSDAQ","중견기업부","732","2","0.27","730","744","714","25231","18378264","35707855968","48781224"
"001530","DI동일","KOSPI",,"17880","720","4.20","17060","18050","17060","76032","1345842900","352759526400","19729280"
"015590","DKME","KOSPI",,"515","0","0.00","0","0","0","0","0","122045495160","236981544"
"000210","DL","KOSPI",,"39800","1350","3.51","39600","40500","39200","93698","3741495975","834044183200","20955884"
"000215","DL우","KOSPI",,"25850","1150","4.66","25300","26450","25050","11332","291036300","43586072750","1686115"
"375500","DL이앤씨","KOSPI",,"40500","1350","3.45","39750","40950","39600","187146","7555205575","1567091731500","38693623"
"37550L","DL이앤씨2우(전환)","KOSPI",,"29600","750","2.60","29650","29650","29350","1765","52098100","62513749600","2111951"
"37550K","DL이앤씨우","KOSPI",,"22200","500","2.30","21700","22400","21600","7009","155428125","46928247000","2113885"
"068790","DMS","KOSDAQ","관리종목(소속부없음)","6330","0","0.00","0","0","0","0","0","149939488590","23687123"
"007340","DN오토모티브","KOSPI",,"23950","500","2.13","23450","23950","23100","98394","2321489300","1401335216750","58510865"
"004840","DRB동일","KOSPI",,"4830","-5","-0.10","4855","4880","4820","8111","39208999","96261900000","19930000"
"241520","DSC인베스트먼트","KOSDAQ","중견기업부","6780","300","4.63","6580","7170","6580","738713","5050566435","183060000000","27000000"
"155660","DSR","KOSPI",,"3865","-10","-0.26","3905","3910","3845","18304","70886410","61840000000","16000000"
"069730","DSR제강","KOSPI",,"3500","50","1.45","3455","3530","3455","29120","101964440","50400000000","14400000"
"017860","DS단석","KOSPI",,"19560","860","4.60","18710","19570","18710","82726","1595198310","343947186720","17584212"
"180400","DXVX","KOSDAQ","관리종목(소속부없음)","1770","0","0.00","1770","1808","1734","154038","272701038","87118394640","49219432"
"092780","DYP","KOSPI",,"3400","35","1.04","3365","3430","3315","23645","79878740","44772764000","13168460"
"017940","E1","KOSPI",,"84000","1100","1.33","83300","84400","83000","7369","615117000","576240000000","6860000"
"418620","E8","KOSDAQ","기술성장기업부","1991","24","1.22","2015","2045","1967","39813","79915236","25585299707","12850477"
"245620","EDGC","KOSDAQ","관리종목(소속부없음)","415","0","0.00","0","0","0","0","0","57474989665","138493951"
"037370","EG","KOSDAQ","벤처기업부","5560","40","0.72","5550","5630","5530","13709","76334600","47954844320","8624972"
"278990","EMB","KONEX","일반기업부","3500","5","0.14","3500","3500","2980","739","2297045","16928908500","4836831"
"365550","ESR켄달스퀘어리츠","KOSPI",,"4470","20","0.45","4460","4470","4435","844452","3743028895","1100017830000","246089000"
"050120","ES큐브","KOSDAQ","중견기업부","3050","115","3.92","2925","3565","2875","1959714","6434165003","41370462300","13564086"
"383220","F&F","KOSPI",,"71800","200","0.28","72200","73000","70200","111356","7934916530","2750447985000","38307075"
"007700","F&F홀딩스","KOSPI",,"19980","270","1.37","19730","20000","19600","18286","362813000","781505052660","39114367"
"214270","FSN","KOSDAQ","중견기업부","1802","5","0.28","1797","1834","1792","79340","143598900","78731108118","43690959"
"130500","GH신소재","KOSDAQ","우량기업부","2385","0","0.00","2380","2420","2345","9019","21536418","34689949020","14545052"
"114090","GKL","KOSPI",,"14250","150","1.06","14170","14290","14030","293668","4151683900","881443297500","61855670"
"900290","GRT","KOSDAQ","외국기업(소속부없음)","2665","10","0.38","2715","2715","2640","80370","214361360","215465250000","80850000"
"078930","GS","KOSPI",,"58000","500","0.87","58200","58200","56600","248719","14256027600","5389091924000","92915378"
"083450","GST","KOSDAQ","우량기업부","25350","200","0.80","25500","25600","24650","236947","5940790250","467200500000","18430000"
"006360","GS건설","KOSPI",,"19290","750","4.05","18780","19330","18710","642080","12325070240","1650866942100","85581490"
"001250","GS글로벌","KOSPI",,"2385","30","1.27","2365","2400","2360","227438","542006032","196843027140","82533764"
"007070","GS리테일","KOSPI",,"21750","-150","-0.68","22000","22000","20850","212766","4615248825","1818461276250","83607415"
"078935","GS우","KOSPI",,"47800","150","0.31","47650","48000","47550","3472","165793325","85314682800","1784826"
"499790","GS피앤엘","KOSPI",,"47450","-2750","-5.48","49600","49800","46800","357015","17035042750","940973405450","19830841"
"297890","HB솔루션","KOSDAQ","우량기업부","2130","30","1.43","2100","2130","2090","205527","433773671","155790146820","73140914"
"440290","HB인베스트먼트","KOSDAQ","중견기업부","2090","15","0.72","2060","2100","2060","103791","216651415","57488438700","27506430"
"078150","HB테크놀러지","KOSDAQ","우량기업부","1920","66","3.56","1861","1923","1854","581946","1098988047","178014558720","92715916"
"225530","HC보광산업","KOSDAQ","우량기업부","2820","15","0.53","2805","2830","2800","9280","26113286","102475210140","36338727"
"060560","HC홈센타","KOSDAQ","중견기업부","712","14","2.01","702","724","694","145448","103876469","90900701800","127669525"
"012630","HDC","KOSPI",,"17400","90","0.52","17480","17500","17120","130419","2254331340","1039505945400","59741721"
"039570","HDC랩스","KOSPI",,"8350","-40","-0.48","8390","8430","8300","12691","105873500","216745968350","25957601"
"089470","HDC현대EP","KOSPI",,"4055","80","2.01","4010","4055","3975","25092","100899115","129354500000","31900000"
"294870","HDC현대산업개발","KOSPI",,"19790","340","1.75","19550","19860","19460","159258","3139138230","1304306060700","65907330"
"009540","HD한국조선해양","KOSPI",,"428000","8000","1.90","425000","432500","421500","138981","59488023000","30290893648000","70773116"
"267250","HD현대","KOSPI",,"204000","1500","0.74","207500","208000","199550","155125","31483441800","16114589340000","78993085"
"267270","HD현대건설기계","KOSPI",,"96900","4200","4.53","95500","97600","92800","177922","17132977800","1681952699700","17357613"
"443060","HD현대마린솔루션","KOSPI",,"199800","12000","6.39","193400","199800","193000","279247","55026000700","8956876158000","44829210"
"071970","HD현대마린엔진","KOSPI",,"81500","1900","2.39","80200","81800","78800","141868","11494004250","2764601842500","33921495"
"010620","HD현대미포","KOSPI",,"223000","3500","1.59","223000","227500","218000","798792","178109931750","8907099227000","39942149"
"322000","HD현대에너지솔루션","KOSPI",,"51800","600","1.17","51600","52100","51000","62045","3195038600","580160000000","11200000"
"042670","HD현대인프라코어","KOSPI",,"14960","580","4.03","14880","15140","14400","1516461","22591782055","2825214520480","188851238"
"267260","HD현대일렉트릭","KOSPI",,"797000","17000","2.18","812000","813000","770000","102748","81070630500","28729566595000","36047135"
"329180","HD현대중공업","KOSPI",,"554000","6000","1.09","557000","567000","544000","984466","545991436000","49180306264000","88773116"
"097230","HJ중공업","KOSPI",,"20850","600","2.96","20250","21050","20000","885467","18325200775","1882657922400","90295344"
"195940","HK이노엔","KOSDAQ GLOBAL","우량기업부","50600","1750","3.58","49200","51100","49200","258223","13018315700","1433492484600","28329891"
"014790","HL D&I","KOSPI",,"2580","35","1.38","2545","2600","2545","54029","138679192","97675190580","37858601"
"028300","HLB","KOSDAQ","중견기업부","46650","850","1.86","46350","47400","45800","365226","17135516775","6150014581500","131833110"
"003580","HLB글로벌","KOSPI",,"2160","60","2.86","2140","2190","2110","159065","343870588","109433170800","50663505"
"278650","HLB바이오스텝","KOSDAQ","중견기업부","1470","61","4.33","1414","1487","1409","369494","538333463","127898142330","87005539"
"343090","HLB사이언스","KONEX","일반기업부","1979","32","1.64","1862","1996","1862","34670","68256806","37521349208","18959752"
"067630","HLB생명과학","KOSDAQ","투자주의환기종목(소속부없음)","4000","95","2.43","3910","4200","3890","554214","2240528072","487668232000","121917058"
"024850","HLB이노베이션","KOSDAQ","중견기업부","1673","43","2.64","1640","1680","1640","96955","161561348","241808915376","144536112"
"187420","HLB제넥스","KOSDAQ","기술성장기업부","2770","10","0.36","2760","2885","2740","44401","123953190","80706393140","29135882"
"047920","HLB제약","KOSDAQ","기술성장기업부","15220","550","3.75","14870","15480","14830","72816","1110929785","499206198320","32799356"
"115450","HLB테라퓨틱스","KOSDAQ","중견기업부","3135","30","0.97","3120","3235","3115","152877","484474184","264538394505","84382263"
"046210","HLB파나진","KOSDAQ","벤처기업부","1569","9","0.58","1589","1605","1550","63048","99074472","70803820542","45126718"
"196300","HLB펩","KOSDAQ","관리종목(소속부없음)","6430","20","0.31","6440","6450","6330","5558","35481810","59756549140","9293398"
"204320","HL만도","KOSPI",,"42350","950","2.29","42200","42500","41050","369065","15446715500","1988634032000","46957120"
"060980","HL홀딩스","KOSPI",,"43250","-200","-0.46","43200","44450","43150","14288","620340175","398482880250","9213477"
"011200","HMM","KOSPI",,"19010","300","1.60","18890","19070","18830","891017","16873123520","17930953809700","943237970"
"403870","HPSP","KOSDAQ GLOBAL","우량기업부","28800","550","1.95","28550","28900","28050","489987","13938905200","2404758758400","83498568"
"036640","HRS","KOSDAQ","우량기업부","5370","20","0.37","5350","5370","5320","32990","176303550","87825276000","16354800"
"035000","HS애드","KOSPI",,"8890","30","0.34","8780","9000","8780","4463","39535720","147284266010","16567409"
"002460","HS화성","KOSPI",,"11840","110","0.94","11730","11920","11610","21232","249233225","120176000000","10150000"
"487570","HS효성","KOSPI",,"65000","1500","2.36","64900","65000","63300","14040","901717750","242185255000","3725927"
"298050","HS효성첨단소재","KOSPI",,"200500","1600","0.80","203000","204000","199500","7559","1519336300","898229574000","4479948"
"448760","IBKS제22호스팩","KOSDAQ","SPAC(소속부없음)","4885","175","3.72","4650","5160","4605","690606","3383760519","21640550000","4430000"
"467930","IBKS제23호스팩","KOSDAQ","SPAC(소속부없음)","2220","10","0.45","2195","2225","2195","2969","6592035","9390600000","4230000"
"469480","IBKS제24호스팩","KOSDAQ","SPAC(소속부없음)","2215","20","0.91","2195","2215","2190","6163","13552045","9369450000","4230000"
"003560","IHQ","KOSPI",,"10760","0","0.00","0","0","0","0","0","76220934800","7083730"
"015360","INVENI","KOSPI",,"62500","500","0.81","62600","62700","61800","3915","243895200","356250000000","5700000"
"095340","ISC","KOSDAQ GLOBAL","우량기업부","104300","1700","1.66","109000","111700","101500","522452","55208574350","2210853149400","21197058"
"175330","JB금융지주","KOSPI",,"23800","50","0.21","24200","24400","23550","447673","10692319325","4519253503800","189884601"
"950170","JTC","KOSDAQ","외국기업(소속부없음)","3840","235","6.52","3660","3880","3600","271578","1025192727","198705976320","51746348"
"234080","JW생명과학","KOSPI",,"15200","650","4.47","14560","15220","14540","221728","3290998785","240685220800","15834554"
"067290","JW신약","KOSDAQ","중견기업부","1426","32","2.30","1382","1426","1382","167407","237143624","76114355676","53376126"
"001060","JW중외제약","KOSPI",,"26200","1150","4.59","25100","26500","25100","152632","3961389325","610091366000","23285930"
"001067","JW중외제약2우B","KOSPI",,"60700","0","0.00","60000","60700","60000","43","2595100","12745361100","209973"
"001065","JW중외제약우","KOSPI",,"27850","400","1.46","27850","27850","27850","14","389900","9523335350","341951"
"096760","JW홀딩스","KOSPI",,"3670","120","3.38","3560","3720","3560","191752","702723294","271304537140","73924942"
"035900","JYP Ent.","KOSDAQ GLOBAL","우량기업부","64400","1400","2.22","63100","64400","62800","199796","12742881250","2288292484800","35532492"
"318000","KBG","KOSDAQ","벤처기업부","4515","130","2.96","4385","4525","4385","15485","69264997","39462106845","8740223"
"008970","KBI동양철관","KOSPI",,"1997","35","1.78","1963","2015","1963","594827","1185149674","159562111279","79900907"
"024840","KBI메탈","KOSDAQ","중견기업부","1665","35","2.15","1630","1668","1630","128372","211960510","58123816335","34909199"
"105560","KB금융","KOSPI",,"124700","3000","2.47","122800","125500","122100","983365","122176824650","47568324244100","381462103"
"415640","KB발해인프라","KOSPI",,"9740","40","0.41","9800","9800","9660","132782","1289609965","1193593637520","122545548"
"432320","KB스타리츠","KOSPI",,"3670","-80","-2.13","3730","3755","3665","100967","371335762","372190425950","101414285"
"024120","KB오토시스","KOSDAQ","중견기업부","3395","-15","-0.44","3430","3430","3365","18843","63750205","39042500000","11500000"
"455250","KB제25호스팩","KOSDAQ","SPAC(소속부없음)","2110","0","0.00","2110","2110","2105","4861","10234453","9083550000","4305000"
"464680","KB제27호스팩","KOSDAQ","SPAC(소속부없음)","2070","0","0.00","2065","2070","2065","9539","19737837","26713350000","12905000"
"478390","KB제29호스팩","KOSDAQ","SPAC(소속부없음)","2055","-5","-0.24","2060","2065","2055","13796","28414285","12782100000","6220000"
"486630","KB제30호스팩","KOSDAQ","SPAC(소속부없음)","2035","0","0.00","2040","2040","2035","3522","7170015","10805850000","5310000"
"492220","KB제31호스팩","KOSDAQ","SPAC(소속부없음)","2005","0","0.00","2000","2005","1998","75","150311","12451050000","6210000"
"0037T0","KB제32호스팩","KOSDAQ","SPAC(소속부없음)","1994","-1","-0.05","1995","1995","1993","7396","14752292","12622020000","6330000"
"0072Z0","KB제33호스팩","KOSDAQ","SPAC(소속부없음)","1981","-1","-0.05","1982","1983","1979","56083","111131890","15620185000","7885000"
"002380","KCC","KOSPI",,"415000","7000","1.72","414000","421000","407500","21883","9063714250","3687885465000","8886471"
"021320","KCC건설","KOSDAQ","우량기업부","4980","65","1.32","4970","4990","4900","12681","62862970","106572000000","21400000"
"344820","KCC글라스","KOSPI",,"26900","300","1.13","26600","27050","26600","39759","1067898350","429606772800","15970512"
"009070","KCTC","KOSPI",,"5210","160","3.17","5160","5270","5100","165499","858554290","156300000000","30000000"
"009440","KC그린홀딩스","KOSPI",,"756","0","0.00","0","0","0","0","0","17568790596","23239141"
"112190","KC산업","KONEX","일반기업부","1444","112","8.41","1449","1449","1333","102","147170","13069902476","9051179"
"119650","KC코트렐","KOSPI",,"918","0","0.00","0","0","0","0","0","100782913662","109785309"
"044180","KD","KOSDAQ","중견기업부","565","4","0.71","561","579","561","283528","160002845","15095556435","26717799"
"092220","KEC","KOSPI",,"699","8","1.16","692","700","690","358721","249483749","140333435559","200763141"
"046440","KG모빌리언스","KOSDAQ","우량기업부","4750","40","0.85","4720","4785","4705","44512","210782192","180551309500","38010802"
"003620","KG모빌리티","KOSPI",,"3310","60","1.85","3270","3325","3255","262487","865760280","669860958720","202374912"
"016380","KG스틸","KOSPI",,"5370","130","2.48","5270","5370","5270","104135","554336200","537047776890","100008897"
