종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","벤처기업부","1655","-35","-2.07","1695","1700","1570","208540","344648238","87812711200","53059040"
"095570","AJ네트웍스","KOSPI",,"4645","5","0.11","4640","4665","4600","109195","505445978","210199065555","45252759"
"006840","AK홀딩스","KOSPI",,"8300","-170","-2.01","8470","8470","8230","15469","128632435","109954756300","13247561"
"054620","APS","KOSDAQ","중견기업부","3870","-130","-3.25","4070","4070","3855","39819","155237447","71185635270","18394221"
"265520","AP시스템","KOSDAQ","우량기업부","20200","-400","-1.94","20850","20850","19760","118916","2393548755","304026584200","15050821"
"211270","AP위성","KOSDAQ","우량기업부","14050","-450","-3.10","14590","14700","13650","797950","11255404265","211906371200","15082304"
"139050","BF랩스","KOSDAQ","관리종목(소속부없음)","2805","0","0.00","0","0","0","0","0","24247965555","8644551"
"027410","BGF","KOSPI",,"3800","-60","-1.55","3870","3870","3760","135915","517156249","363723805800","95716791"
"282330","BGF리테일","KOSPI",,"102000","-1000","-0.97","102500","102600","101200","49835","5067737000","1762958412000","17283906"
"126600","BGF에코머티리얼즈","KOSDAQ","우량기업부","3695","65","1.79","3605","3745","3595","95074","347481121","231923691805","62766899"
"138930","BNK금융지주","KOSPI",,"15540","-310","-1.96","15600","15880","15410","695471","10860957230","4886166893160","314425154"
"001460","BYC","KOSPI",,"41600","50","0.12","42400","42800","40700","1958","80578700","259839840000","6246150"
"001465","BYC우","KOSPI",,"23900","-250","-1.04","24100","24100","22100","8290","190560800","51477015000","2153850"
"083790","CG인바이츠","KOSDAQ","벤처기업부","1322","-36","-2.65","1370","1370","1302","294292","390912363","101654108604","76894182"
"001040","CJ","KOSPI",,"177400","-1500","-0.84","176700","181000","174300","97375","17255490200","5175999445200","29176998"
"079160","CJ CGV","KOSPI",,"5780","20","0.35","5730","5820","5620","477816","2713983300","957061312760","165581542"
"035760","CJ ENM","KOSDAQ GLOBAL","중견기업부","62000","100","0.16","62000","62100","60700","72573","4451043950","1359607548000","21929154"
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","8820","-220","-2.43","9040","9050","8810","41342","367925390","115237374840","13065462"
"00104K","CJ4우(전환)","KOSPI",,"155000","-1200","-0.77","156200","156600","152600","6487","1001756000","655109360000","4226512"
"000120","CJ대한통운","KOSPI",,"96000","1700","1.80","93500","96800","93500","102861","9878812150","2189985024000","22812344"
"011150","CJ씨푸드","KOSPI",,"2840","-15","-0.53","2855","2880","2805","588146","1666451539","102043395320","35930773"
"011155","CJ씨푸드1우","KOSPI",,"15850","280","1.80","15780","15850","15600","1484","23157810","3170000000","200000"
"001045","CJ우","KOSPI",,"90800","-1200","-1.30","92100","92100","89500","5565","504774800","205228248400","2260223"
"097950","CJ제일제당","KOSPI",,"203000","-2500","-1.22","205000","205500","200500","118124","23892450750","3055999758000","15054186"
"097955","CJ제일제당 우","KOSPI",,"137300","-800","-0.58","138200","138200","136400","8067","1105409000","182256550900","1327433"
"051500","CJ프레시웨이","KOSDAQ","우량기업부","25550","-200","-0.78","25700","25750","25150","10938","277656100","303319022300","11871586"
"058820","CMG제약","KOSDAQ","중견기업부","1785","-14","-0.78","1813","1813","1773","473401","844444605","263898296655","147842183"
"056730","CNT85","KOSDAQ","벤처기업부","583","-4","-0.68","583","587","576","84013","48797779","43206821438","74111186"
"000480","CR홀딩스","KOSPI",,"4735","-45","-0.94","4790","4810","4700","51744","244575965","222026470150","46890490"
"065770","CS","KOSDAQ","벤처기업부","752","-21","-2.72","766","773","751","61663","47060669","14597169760","19411130"
"083660","CSA 코스믹","KOSDAQ","중견기업부","473","-16","-3.27","489","496","470","702885","335449844","29718334107","62829459"
"000590","CS홀딩스","KOSPI",,"75200","-1200","-1.57","75800","77000","74800","665","50275300","86817046400","1154482"
"012030","DB","KOSPI",,"1521","-60","-3.80","1600","1600","1512","765665","1177961810","305985552093","201173933"
"477760","DB금융스팩12호","KOSDAQ","SPAC(소속부없음)","2165","0","0.00","2160","2165","2145","10481","22644366","12643600000","5840000"
"005830","DB손해보험","KOSPI",,"124700","-2500","-1.97","125800","127500","123900","129834","16236713500","8828760000000","70800000"
"016610","DB증권","KOSPI",,"12340","-60","-0.48","12360","12580","12200","140489","1735589635","523788440260","42446389"
"000990","DB하이텍","KOSPI",,"74200","-1000","-1.33","75700","75800","72100","433879","32003519100","3228040429600","43504588"
"099520","DGI","KOSDAQ","관리종목(소속부없음)","1284","0","0.00","0","0","0","0","0","58141862016","45281824"
"000300","DH오토넥스","KOSPI",,"1984","0","0.00","0","0","0","0","0","164422234240","82874110"
"290120","DH오토리드","KOSDAQ","우량기업부","2725","210","8.35","2515","3060","2485","1751712","4974269229","43121078525","15824249"
"025440","DH오토웨어","KOSDAQ","중견기업부","990","228","29.92","760","990","760","5131529","4868197241","48293411760","48781224"
"001530","DI동일","KOSPI",,"19840","-510","-2.51","20350","20350","19840","45084","898782385","391428915200","19729280"
"015590","DKME","KOSPI",,"515","0","0.00","0","0","0","0","0","122045495160","236981544"
"000210","DL","KOSPI",,"35300","-1100","-3.02","36150","36450","34900","102639","3631390475","739742705200","20955884"
"000215","DL우","KOSPI",,"22050","-700","-3.08","22750","22750","21750","8284","182988325","37178835750","1686115"
"375500","DL이앤씨","KOSPI",,"40000","-1250","-3.03","41000","41600","39650","225045","9069979575","1547744920000","38693623"
"37550L","DL이앤씨2우(전환)","KOSPI",,"31150","1150","3.83","30000","31150","29800","3507","106615900","65787273650","2111951"
"37550K","DL이앤씨우","KOSPI",,"20800","-50","-0.24","20850","21150","20350","8674","178883625","43968808000","2113885"
"068790","DMS","KOSDAQ","관리종목(소속부없음)","6330","0","0.00","0","0","0","0","0","149939488590","23687123"
"007340","DN오토모티브","KOSPI",,"23650","-350","-1.46","23800","24250","23350","119755","2834053600","1383781957250","58510865"
"004840","DRB동일","KOSPI",,"4950","-50","-1.00","5010","5020","4865","13089","64580555","98653500000","19930000"
"241520","DSC인베스트먼트","KOSDAQ","중견기업부","7540","-40","-0.53","7610","7650","7380","470957","3522762100","203580000000","27000000"
"155660","DSR","KOSPI",,"3710","-60","-1.59","3795","3795","3700","27036","100590525","59360000000","16000000"
"069730","DSR제강","KOSPI",,"3715","-65","-1.72","3780","3780","3700","21253","79164530","53496000000","14400000"
"017860","DS단석","KOSPI",,"17910","-300","-1.65","18290","18290","17750","100694","1806453940","314933236920","17584212"
"180400","DXVX","KOSDAQ","관리종목(소속부없음)","3400","-5","-0.15","3405","3440","3235","336401","1118302697","167346068800","49219432"
"092780","DYP","KOSPI",,"3265","-75","-2.25","3340","3340","3240","15872","52152455","42995021900","13168460"
"017940","E1","KOSPI",,"81000","-2200","-2.64","83500","83900","80700","7227","589729700","555660000000","6860000"
"418620","E8","KOSDAQ","기술성장기업부","1322","-8","-0.60","1335","1346","1307","459671","610632644","16988330594","12850477"
"245620","EDGC","KOSDAQ","관리종목(소속부없음)","415","0","0.00","0","0","0","0","0","57474989665","138493951"
"037370","EG","KOSDAQ","벤처기업부","5870","570","10.75","5580","6500","5520","683653","4102048565","50628585640","8624972"
"278990","EMB","KONEX","일반기업부","3300","200","6.45","3200","3300","3200","20","65900","26613764100","8064777"
"365550","ESR켄달스퀘어리츠","KOSPI",,"4430","10","0.23","4410","4430","4360","498154","2186013366","1090174270000","246089000"
"050120","ES큐브","KOSDAQ","중견기업부","2875","-45","-1.54","2990","2990","2850","9998","28657955","38996747250","13564086"
"383220","F&F","KOSPI",,"65500","1000","1.55","64500","66300","64000","91623","5979507350","2509113412500","38307075"
"007700","F&F홀딩스","KOSPI",,"19170","-90","-0.47","19530","19530","19120","9360","180139610","749822415390","39114367"
"214270","FSN","KOSDAQ","중견기업부","1870","-96","-4.88","1950","1969","1850","244725","462051718","81702093330","43690959"
"130500","GH신소재","KOSDAQ","우량기업부","2625","55","2.14","2570","2640","2520","54048","138614986","38180761500","14545052"
"114090","GKL","KOSPI",,"13720","-240","-1.72","13830","14010","13600","168592","2308248205","848659792400","61855670"
"900290","GRT","KOSDAQ","외국기업(소속부없음)","3630","-35","-0.95","3665","3665","3545","496675","1781330828","293485500000","80850000"
"078930","GS","KOSPI",,"57000","-1300","-2.23","57400","58400","56500","167755","9585772150","5296176546000","92915378"
"083450","GST","KOSDAQ","우량기업부","28700","-3350","-10.45","31100","31150","28250","1481091","43329213125","528941000000","18430000"
"006360","GS건설","KOSPI",,"18740","-430","-2.24","19120","19300","18580","587746","11072007695","1603797122600","85581490"
"001250","GS글로벌","KOSPI",,"2245","-55","-2.39","2305","2305","2245","579499","1310624302","185288300180","82533764"
"007070","GS리테일","KOSPI",,"20250","290","1.45","19730","20300","19730","165261","3309344030","1693050153750","83607415"
"078935","GS우","KOSPI",,"48500","-400","-0.82","48800","48900","47500","8915","430840275","86564061000","1784826"
"499790","GS피앤엘","KOSPI",,"42000","-800","-1.87","42750","42750","40500","222502","9192489600","832895322000","19830841"
"297890","HB솔루션","KOSDAQ","우량기업부","2180","-80","-3.54","2280","2290","2160","429849","950085191","159447192520","73140914"
"440290","HB인베스트먼트","KOSDAQ","중견기업부","2015","-30","-1.47","2055","2055","2010","118884","240650955","55425456450","27506430"
"078150","HB테크놀러지","KOSDAQ","우량기업부","2025","-65","-3.11","2105","2145","2000","1394702","2859909806","187749729900","92715916"
"225530","HC보광산업","KOSDAQ","우량기업부","2840","-15","-0.53","2855","2870","2815","32738","92980230","103201984680","36338727"
"060560","HC홈센타","KOSDAQ","중견기업부","749","2","0.27","750","750","725","30805","22902918","95624474225","127669525"
"012630","HDC","KOSPI",,"16810","-410","-2.38","17390","17400","16710","131786","2225514565","1004258330010","59741721"
"039570","HDC랩스","KOSPI",,"8210","0","0.00","8210","8300","8170","11379","93247210","213111904210","25957601"
"089470","HDC현대EP","KOSPI",,"4235","-35","-0.82","4300","4305","4205","53882","229847350","135096500000","31900000"
"294870","HDC현대산업개발","KOSPI",,"20600","-150","-0.72","20750","20850","20500","195744","4038962625","1357690998000","65907330"
"009540","HD한국조선해양","KOSPI",,"418000","4000","0.97","412000","423000","408500","251207","104843140776","29583162488000","70773116"
"267250","HD현대","KOSPI",,"193600","-1800","-0.92","192900","196300","192400","114094","22158657150","15293061256000","78993085"
"267270","HD현대건설기계","KOSPI",,"107400","-2500","-2.27","108100","111900","107100","133532","14528565950","1864207636200","17357613"
"443060","HD현대마린솔루션","KOSPI",,"191000","-3600","-1.85","191900","197300","190500","103123","19883748300","8562379110000","44829210"
"071970","HD현대마린엔진","KOSPI",,"90100","-3300","-3.53","92100","94300","88400","342984","31233379100","3056326699500","33921495"
"322000","HD현대에너지솔루션","KOSPI",,"56100","-1900","-3.28","58500","58500","55900","85621","4866302100","628320000000","11200000"
"042670","HD현대인프라코어","KOSPI",,"13800","0","0.00","0","0","0","0","0","2606147084400","188851238"
"267260","HD현대일렉트릭","KOSPI",,"821000","-13000","-1.56","825000","830000","814000","233958","192073296860","29594697835000","36047135"
"329180","HD현대중공업","KOSPI",,"557000","7000","1.27","545000","572000","542000","261613","146330331000","58463402325000","104961225"
"376270","HEM파마","KOSDAQ","기술성장기업부","47000","1000","2.17","46000","47300","45050","23376","1081636325","336178169000","7152727"
"097230","HJ중공업","KOSPI",,"24300","2250","10.20","22950","25200","22500","4135010","99520152350","2194176859200","90295344"
"195940","HK이노엔","KOSDAQ GLOBAL","우량기업부","54800","3500","6.82","51200","55300","51100","765194","41103105400","1552478026800","28329891"
"014790","HL D&I","KOSPI",,"2555","-20","-0.78","2600","2600","2500","90046","228828555","96728725555","37858601"
"028300","HLB","KOSDAQ","중견기업부","54300","-300","-0.55","53700","54400","53200","573443","30853001150","7159623873000","131853110"
"003580","HLB글로벌","KOSPI",,"2385","-45","-1.85","2400","2430","2360","120305","287014445","120832459425","50663505"
"278650","HLB바이오스텝","KOSDAQ","중견기업부","1486","-16","-1.07","1502","1504","1460","249987","368985150","129290230954","87005539"
"343090","HLB사이언스","KONEX","일반기업부","2080","0","0.00","0","0","0","0","0","39436284160","18959752"
"067630","HLB생명과학","KOSDAQ","투자주의환기종목(소속부없음)","4335","70","1.64","4265","4345","4160","408504","1728709191","528510446430","121917058"
"024850","HLB이노베이션","KOSDAQ","중견기업부","2070","45","2.22","2025","2070","1994","338661","687224117","299189751840","144536112"
