종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","벤처기업부","1569","-16","-1.01","1585","1601","1559","142642","223971409","83249633760","53059040"
"095570","AJ네트웍스","KOSPI",,"4640","10","0.22","4630","4690","4610","104086","484107755","209972801760","45252759"
"006840","AK홀딩스","KOSPI",,"8960","-20","-0.22","8980","8980","8880","4408","39219040","118698146560","13247561"
"054620","APS","KOSDAQ","중견기업부","3985","-5","-0.13","4075","4075","3930","10444","41394625","73300970685","18394221"
"265520","AP시스템","KOSDAQ","우량기업부","19190","0","0.00","19330","19450","18950","64531","1240057510","288825254990","15050821"
"211270","AP위성","KOSDAQ","우량기업부","11560","150","1.31","11790","12100","11410","346480","4077813460","174351434240","15082304"
"139050","BF랩스","KOSDAQ","관리종목(소속부없음)","2805","0","0.00","0","0","0","0","0","24247965555","8644551"
"027410","BGF","KOSPI",,"4100","35","0.86","4070","4105","4040","78968","321444892","392438843100","95716791"
"282330","BGF리테일","KOSPI",,"111300","400","0.36","111900","111900","109300","30017","3326298750","1923698737800","17283906"
"126600","BGF에코머티리얼즈","KOSDAQ","우량기업부","3900","200","5.41","3695","3970","3645","320541","1238879297","244790906100","62766899"
"138930","BNK금융지주","KOSPI",,"15970","30","0.19","15940","16070","15660","1004002","15956524155","5021369709380","314425154"
"001460","BYC","KOSPI",,"43550","150","0.35","44150","46500","42650","8948","396302700","272019832500","6246150"
"001465","BYC우","KOSPI",,"25750","100","0.39","25650","25950","25200","2330","59394550","55461637500","2153850"
"083790","CG인바이츠","KOSDAQ","벤처기업부","1500","31","2.11","1495","1500","1465","100336","148863654","115341273000","76894182"
"001040","CJ","KOSPI",,"172500","-1700","-0.98","175900","176900","170000","100448","17298518200","5033032155000","29176998"
"079160","CJ CGV","KOSPI",,"6100","110","1.84","5990","6190","5990","470022","2853216210","1010047125600","165581496"
"035760","CJ ENM","KOSDAQ GLOBAL","중견기업부","63700","3100","5.12","60800","64100","60800","66546","4208602000","1396887109800","21929154"
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","9800","660","7.22","9190","9930","9100","39769","383923575","128041527600","13065462"
"00104K","CJ4우(전환)","KOSPI",,"155200","-1800","-1.15","156200","156800","151500","13463","2070010650","655954662400","4226512"
"000120","CJ대한통운","KOSPI",,"95500","-5400","-5.35","101300","101300","95100","97528","9408772400","2178578852000","22812344"
"011150","CJ씨푸드","KOSPI",,"2885","75","2.67","2820","2935","2790","891071","2555957282","103660280105","35930773"
"011155","CJ씨푸드1우","KOSPI",,"16610","460","2.85","16020","16630","15800","896","14448560","3322000000","200000"
"001045","CJ우","KOSPI",,"87000","-200","-0.23","87200","88500","86000","4050","350431000","196639401000","2260223"
"097950","CJ제일제당","KOSPI",,"210000","1000","0.48","210000","210500","208000","47618","9976247750","3161379060000","15054186"
"097955","CJ제일제당 우","KOSPI",,"137100","-400","-0.29","138100","138800","137000","4047","555664500","181991064300","1327433"
"051500","CJ프레시웨이","KOSDAQ","우량기업부","26700","-500","-1.84","27150","27200","26500","18616","498672475","316971346200","11871586"
"058820","CMG제약","KOSDAQ","중견기업부","1921","0","0.00","1922","1953","1918","574170","1112681678","284004833543","147842183"
"056730","CNT85","KOSDAQ","벤처기업부","626","-11","-1.73","637","637","622","21322","13382359","46393602436","74111186"
"000480","CR홀딩스","KOSPI",,"5080","50","0.99","5040","5080","5030","16952","85689140","238203689200","46890490"
"065770","CS","KOSDAQ","벤처기업부","823","22","2.75","801","865","792","126535","103869166","15975359990","19411130"
"083660","CSA 코스믹","KOSDAQ","중견기업부","551","3","0.55","548","564","530","159867","87618546","34619031909","62829459"
"000590","CS홀딩스","KOSPI",,"80800","100","0.12","80900","80900","80100","695","55983400","93282145600","1154482"
"012030","DB","KOSPI",,"1502","13","0.87","1489","1507","1481","192051","287265748","302163247366","201173933"
"477760","DB금융스팩12호","KOSDAQ","SPAC(소속부없음)","2105","5","0.24","2100","2105","2095","9990","20977780","12293200000","5840000"
"005830","DB손해보험","KOSPI",,"123700","600","0.49","123100","124700","122600","112214","13850651700","8757960000000","70800000"
"016610","DB증권","KOSPI",,"10770","170","1.60","10630","10790","10460","70544","753932590","457147609530","42446389"
"000990","DB하이텍","KOSPI",,"65300","1300","2.03","64700","65900","64100","330091","21529004350","2840849596400","43504588"
"099520","DGI","KOSDAQ","관리종목(소속부없음)","1284","0","0.00","0","0","0","0","0","58141862016","45281824"
"000300","DH오토넥스","KOSPI",,"1984","0","0.00","0","0","0","0","0","164422234240","82874110"
"290120","DH오토리드","KOSDAQ","우량기업부","2450","45","1.87","2405","2475","2385","31515","76463230","38769410050","15824249"
"025440","DH오토웨어","KOSDAQ","중견기업부","769","-1","-0.13","772","785","760","39172","30422543","37512761256","48781224"
"001530","DI동일","KOSPI",,"20100","230","1.16","20200","20250","19680","57884","1150378330","396558528000","19729280"
"015590","DKME","KOSPI",,"515","0","0.00","0","0","0","0","0","122045495160","236981544"
"000210","DL","KOSPI",,"39050","350","0.90","39000","39350","38500","38624","1499322500","818327270200","20955884"
"000215","DL우","KOSPI",,"24650","50","0.20","24600","24950","24350","19505","477351200","41562734750","1686115"
"375500","DL이앤씨","KOSPI",,"41750","-350","-0.83","42400","42700","41600","206635","8645757350","1615458760250","38693623"
"37550L","DL이앤씨2우(전환)","KOSPI",,"31750","150","0.47","31700","32150","31500","696","22251750","67054444250","2111951"
"37550K","DL이앤씨우","KOSPI",,"22950","-50","-0.22","23000","23100","22750","3669","83897625","48513660750","2113885"
"068790","DMS","KOSDAQ","관리종목(소속부없음)","6330","0","0.00","0","0","0","0","0","149939488590","23687123"
"007340","DN오토모티브","KOSPI",,"26250","-50","-0.19","26000","26500","25650","110238","2884425375","1535910206250","58510865"
"004840","DRB동일","KOSPI",,"4815","0","0.00","4800","4840","4795","3975","19114315","95962950000","19930000"
"241520","DSC인베스트먼트","KOSDAQ","중견기업부","7610","460","6.43","7160","7770","7160","2024278","15341769985","205470000000","27000000"
"155660","DSR","KOSPI",,"3920","0","0.00","3920","3925","3890","4604","17996920","62720000000","16000000"
"069730","DSR제강","KOSPI",,"3890","0","0.00","3890","3910","3800","24668","95126280","56016000000","14400000"
"017860","DS단석","KOSPI",,"19290","600","3.21","18740","19450","18600","66330","1260471105","339199449480","17584212"
"180400","DXVX","KOSDAQ","관리종목(소속부없음)","1746","93","5.63","1660","1790","1641","175471","296279840","85937128272","49219432"
"092780","DYP","KOSPI",,"3405","-60","-1.73","3465","3465","3365","17527","59505755","44838606300","13168460"
"017940","E1","KOSPI",,"88200","-1600","-1.78","89400","90400","88200","25493","2266213000","605052000000","6860000"
"418620","E8","KOSDAQ","기술성장기업부","1539","-26","-1.66","1580","1611","1508","66490","103236746","19776884103","12850477"
"245620","EDGC","KOSDAQ","관리종목(소속부없음)","415","0","0.00","0","0","0","0","0","57474989665","138493951"
"037370","EG","KOSDAQ","벤처기업부","5520","-70","-1.25","5700","5700","5470","16778","92665610","47609845440","8624972"
"278990","EMB","KONEX","일반기업부","3100","0","0.00","3100","3100","3100","1","3100","25000808700","8064777"
"365550","ESR켄달스퀘어리츠","KOSPI",,"4160","45","1.09","4115","4195","4100","395511","1646516882","1023730240000","246089000"
"050120","ES큐브","KOSDAQ","중견기업부","3160","95","3.10","3045","3160","3025","7059","21666885","42862511760","13564086"
"383220","F&F","KOSPI",,"78800","-700","-0.88","80100","80400","77900","73989","5820464000","3018597510000","38307075"
"007700","F&F홀딩스","KOSPI",,"20850","400","1.96","20500","21000","20450","14267","295772475","815534551950","39114367"
"214270","FSN","KOSDAQ","중견기업부","1799","28","1.58","1778","1820","1763","207634","372201198","78600035241","43690959"
"130500","GH신소재","KOSDAQ","우량기업부","2425","10","0.41","2450","2455","2400","39918","96662465","35271751100","14545052"
"114090","GKL","KOSPI",,"14990","240","1.63","14760","15050","14700","237542","3544466440","927216493300","61855670"
"900290","GRT","KOSDAQ","외국기업(소속부없음)","3130","-25","-0.79","3170","3170","3055","154453","479489064","253060500000","80850000"
"078930","GS","KOSPI",,"55300","100","0.18","55700","55800","54600","295553","16312365150","5138220403400","92915378"
"083450","GST","KOSDAQ","우량기업부","23700","-100","-0.42","24400","24400","23550","136868","3262122700","436791000000","18430000"
"006360","GS건설","KOSPI",,"20050","-50","-0.25","20500","20500","19920","497461","9973988020","1715908874500","85581490"
"001250","GS글로벌","KOSPI",,"2365","20","0.85","2345","2365","2335","206462","485706372","195192351860","82533764"
"007070","GS리테일","KOSPI",,"21750","-100","-0.46","22300","22300","21450","144337","3132787200","1818461276250","83607415"
"078935","GS우","KOSPI",,"47550","200","0.42","47350","47650","47200","2327","110427950","84868476300","1784826"
"499790","GS피앤엘","KOSPI",,"43000","-1400","-3.15","44450","46300","43000","116725","5100068425","852726163000","19830841"
"297890","HB솔루션","KOSDAQ","우량기업부","2040","30","1.49","2020","2050","1999","154044","311445817","149207464560","73140914"
"440290","HB인베스트먼트","KOSDAQ","중견기업부","2410","135","5.93","2330","2490","2280","836836","2001591540","66290496300","27506430"
"078150","HB테크놀러지","KOSDAQ","우량기업부","1837","5","0.27","1840","1847","1817","510124","933193971","170319137692","92715916"
"225530","HC보광산업","KOSDAQ","우량기업부","2900","15","0.52","2920","2920","2865","11460","33097240","105382308300","36338727"
"060560","HC홈센타","KOSDAQ","중견기업부","738","5","0.68","733","741","720","85399","62499005","94220109450","127669525"
"012630","HDC","KOSPI",,"17340","-300","-1.70","17810","18130","17300","152247","2674603450","1035921442140","59741721"
"039570","HDC랩스","KOSPI",,"8530","-40","-0.47","8570","8570","8490","6096","51965385","221418336530","25957601"
"089470","HDC현대EP","KOSPI",,"4360","60","1.40","4300","4450","4210","73554","314617325","139084000000","31900000"
"294870","HDC현대산업개발","KOSPI",,"21300","-50","-0.23","21600","21750","21050","244099","5205114075","1403826129000","65907330"
