종목코드,종목명,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"000660","SK하이닉스","13105","46765","33660","7412038000","26615264500","19203226500"
"0126Z0","삼성에피스홀딩스","563","25908","25345","317411000","14710714000","14393303000"
"005930","삼성전자","80655","185790","105135","8735428050","20192953650","11457525600"
"329180","HD현대중공업","2572","19703","17131","1479835500","11340625000","9860789500"
"064350","현대로템","10400","41384","30984","2010729550","8024285250","6013555700"
"007660","이수페타시스","5053","38508","33455","719818950","5546923250","4827104300"
"034730","SK","935","18614","17679","253751750","5058217750","4804466000"
"010140","삼성중공업","32019","195037","163018","851388675","5252159450","4400770775"
"457190","이수스페셜티케미컬","11770","78135","66365","759023300","5067424150","4308400850"
"138930","BNK금융지주","13018","285670","272652","200382700","4429759290","4229376590"
"071970","HD현대마린엔진","3516","49549","46033","312660550","4359584000","4046923450"
"042660","한화오션","1005","24586","23581","115529650","2824923950","2709394300"
"089970","브이엠","6336","94852","88516","184648500","2779814450","2595165950"
"005490","POSCO홀딩스","1125","9395","8270","352938250","2946531750","2593593500"
"005387","현대차2우B","40","12035","11995","8433000","2543889500","2535456500"
"058470","리노공업","2094","39955","37861","136044900","2603469300","2467424400"
"358570","지아이이노베이션","557","103123","102566","11641300","2111119150","2099477850"
"267260","HD현대일렉트릭","437","2908","2471","366945000","2463411500","2096466500"
"000155","두산우","7","3869","3862","3767000","2068320500","2064553500"
"004170","신세계","698","8498","7800","174364750","2132920500","1958555750"
"271560","오리온","6898","24731","17833","696107000","2496597650","1800490650"
"272210","한화시스템","753","37294","36541","36397250","1802732500","1766335250"
"032350","롯데관광개발","15298","90170","74872","350477550","2067686450","1717208900"
"003570","SNT다이내믹스","12102","46126","34024","590947800","2230739800","1639792000"
"141080","리가켐바이오","4775","13480","8705","874820500","2470856450","1596035950"
"077970","STX엔진","2703","40862","38159","102067250","1542127300","1440060050"
"402340","SK스퀘어","4125","8513","4388","1338157750","2770475750","1432318000"
"086280","현대글로비스","2596","10269","7673","467260350","1850390650","1383130300"
"454910","두산로보틱스","938","17382","16444","75660100","1431923900","1356263800"
"010060","OCI홀딩스","49","13131","13082","4988200","1329935250","1324947050"
"082740","한화엔진","1156","29758","28602","53616275","1373801200","1320184925"
"010130","고려아연","48","937","889","70099000","1375390000","1305291000"
"003230","삼양식품","1299","2239","940","1692713500","2920165500","1227452000"
"278470","에이피알","10207","14859","4652","2660278500","3884427000","1224148500"
"307950","현대오토에버","1190","5162","3972","345211250","1522410000","1177198750"
"086520","에코프로","18167","27316","9149","2125092300","3206693950","1081601650"
"005935","삼성전자우","3473","15950","12477","279514600","1283207600","1003693000"
"259960","크래프톤","1419","5504","4085","347326500","1349199250","1001872750"
"295310","에이치브이엠","597","38108","37511","15197450","974330525","959133075"
"079550","LIG넥스원","138","2585","2447","53741000","1011478000","957737000"
"009150","삼성전기","9906","13376","3470","2649851250","3607359250","957508000"
"348210","넥스틴","810","14520","13710","56111400","1008773400","952662000"
"039490","키움증권","109","3410","3301","31026250","968871750","937845500"
"347700","스피어","0","108830","108830","0","931472480","931472480"
"033780","KT&G","443","6725","6282","62358200","942517650","880159450"
"220100","퓨쳐켐","4486","33477","28991","133680250","1001925775","868245525"
"069960","현대백화점","116","9697","9581","10502000","874846200","864344200"
"006800","미래에셋증권","8862","48005","39143","191432125","1037893275","846461150"
"017960","한국카본","7567","35360","27793","229047300","1065326900","836279600"
"039200","오스코텍","1056","15232","14176","57586650","831673650","774087000"
"068270","셀트리온","852","4903","4051","159310900","915547100","756236200"
"062040","산일전기","889","5705","4816","132552200","853715450","721163250"
"058610","에스피지","4076","13033","8957","304759300","977038100","672278800"
"484870","엠앤씨솔루션","92","4640","4548","13133600","671885500","658751900"
"474650","링크솔루션","5173","17312","12139","261196650","901032400","639835750"
"138040","메리츠금융지주","1425","7033","5608","156539700","772530800","615991100"
"462870","시프트업","149","15776","15627","5855700","613841150","607985450"
"098460","고영","2297","24172","21875","64791850","668122375","603330525"
"039440","에스티아이","4261","24198","19937","125550050","709432575","583882525"
"466100","클로봇","514","12516","12002","24068575","600887475","576818900"
"086790","하나금융지주","3828","9911","6083","355533800","920864000","565330200"
"103140","풍산","71","5204","5133","7419500","546930800","539511300"
"007070","GS리테일","1475","24987","23512","33408350","567395975","533987625"
"083650","비에이치아이","14768","24891","10123","754232400","1275786900","521554500"
"017800","현대엘리베이터","100","5591","5491","9360000","524496750","515136750"
"373220","LG에너지솔루션","2000","3139","1139","887878000","1394338500","506460500"
"237690","에스티팜","604","4407","3803","76970800","565068650","488097850"
"018260","삼성에스디에스","583","3348","2765","102766100","589737350","486971250"
"002020","코오롱","4157","13444","9287","202879450","670941400","468061950"
"003720","삼영","89","64491","64402","625670","454403105","453777435"
"481070","에이유브랜즈","2012","24400","22388","40628340","493358060","452729720"
"327260","RF머트리얼즈","0","23764","23764","0","451230005","451230005"
"445680","큐리옥스바이오시스템즈","1971","6912","4941","180645700","625501200","444855500"
"028260","삼성물산","3631","5372","1741","916231250","1356503000","440271750"
"000720","현대건설","19321","25338","6017","1406616550","1846515550","439899000"
"475960","토모큐브","3792","10913","7121","222544600","646309900","423765300"
"00088K","한화3우B","50","10692","10642","1939550","415162400","413222850"
"267250","HD현대","376","2322","1946","80191750","493368500","413176750"
"375500","DL이앤씨","182","9964","9782","7602800","416841100","409238300"
"380550","뉴로핏","1133","15667","14534","31614475","438507950","406893475"
"194370","제이에스코퍼레이션","1213","34069","32856","14820670","420410345","405589675"
"120110","코오롱인더","909","9719","8810","41047400","439058750","398011350"
"244920","에이플러스에셋","0","43000","43000","0","394825365","394825365"
"009155","삼성전기우","217","3400","3183","26397200","413863050","387465850"
"214320","이노션","108","20075","19967","2046600","380649940","378603340"
"012630","HDC","1920","22494","20574","33945130","404835090","370889960"
"00680K","미래에셋증권2우B","15267","50660","35393","152458950","507262200","354803250"
"035150","백산","332","25674","25342","4395830","341329860","336934030"
"030200","KT","7446","13530","6084","385229500","701218000","315988500"
"023160","태광","4056","16616","12560","99377200","412334600","312957400"
"034230","파라다이스","1425","18425","17000","25853880","334509920","308656040"
"300720","한일시멘트","423","16936","16513","7843940","313655870","305811930"
"005385","현대차우","623","2088","1465","128095500","431079750","302984250"
"322000","HD현대에너지솔루션","28","5220","5192","1573600","295541200","293967600"
"389500","에스비비테크","335","7313","6978","13868350","301123450","287255100"
"105560","KB금융","5465","7699","2234","687768350","970731800","282963450"
"484590","삼양컴텍","4090","27327","23237","48902210","325189330","276287120"
"161580","필옵틱스","777","7132","6355","33405800","308691350","275285550"
"055550","신한지주","4585","8084","3499","357389700","632035100","274645400"
"036710","심텍홀딩스","1500","88555","87055","4762500","274692285","269929785"
"102710","이엔에프테크놀로지","0","5451","5451","0","252117500","252117500"
"125020","티씨머티리얼즈","2540","74703","72163","8940800","258175710","249234910"
"180640","한진칼","258","2489","2231","28846900","278065750","249218850"
"035720","카카오","2485","6506","4021","151369450","396447050","245077600"
"001430","세아베스틸지주","573","8454","7881","17452450","258651950","241199500"
"348340","뉴로메카","0","6932","6932","0","223242375","223242375"
"489790","한화비전","334","5633","5299","13893725","234345375","220451650"
"489460","바이오비쥬","0","16408","16408","0","219226105","219226105"
"041510","에스엠","0","2089","2089","0","212003400","212003400"
"051600","한전KPS","115","4006","3891","6244200","216929000","210684800"
"000810","삼성화재","289","707","418","143921500","352165500","208244000"
"089860","롯데렌탈","99","6627","6528","3168000","211293600","208125600"
"488280","에스투더블유","485","6798","6313","15755550","218379275","202623725"
"004800","효성","212","1632","1420","30025300","229591650","199566350"
"309710","아이티켐","1850","6071","4221","85157950","282138350","196980400"
"042700","한미반도체","940","2553","1613","114209600","309362250","195152650"
"047050","포스코인터내셔널","773","4271","3498","42811900","236575250","193763350"
"104830","원익머트리얼즈","0","6105","6105","0","193036000","193036000"
"008060","대덕","76","17248","17172","850440","193087650","192237210"
"069620","대웅제약","29","1049","1020","5312800","195010100","189697300"
"474170","루미르","0","23805","23805","0","183051700","183051700"
"448900","한국피아이엠","3108","6028","2920","188661050","366522800","177861750"
"000880","한화","575","2466","1891","48887300","210643200","161755900"
"175330","JB금융지주","858","7204","6346","21492900","180999500","159506600"
"093050","LF","81","8736","8655","1495260","160705880","159210620"
"053610","프로텍","0","4450","4450","0","154596150","154596150"
"192820","코스맥스","28","942","914","4597600","155374000","150776400"
"054540","삼영엠텍","0","9695","9695","0","150433735","150433735"
"006730","서부T&D","8342","20868","12526","96672270","243667720","146995450"
"032830","삼성생명","862","1781","919","135294400","280178250","144883850"
"051500","CJ프레시웨이","0","5483","5483","0","144722800","144722800"
"280360","롯데웰푸드","107","1288","1181","12933500","155947900","143014400"
"319660","피에스케이","200","4617","4417","6289250","145079775","138790525"
"112610","씨에스윈드","776","3847","3071","34864000","173625825","138761825"
"002380","KCC","776","1090","314","339598250","477552000","137953750"
"005300","롯데칠성","24","1078","1054","3098400","139265500","136167100"
"007810","코리아써키트","1299","4749","3450","51292750","186749325","135456575"
"034310","NICE","99","10071","9972","1336500","135041895","133705395"
"017670","SK텔레콤","477","2876","2399","25747450","155110050","129362600"
"043370","피에이치에이","0","10730","10730","0","128479600","128479600"
"482630","삼양엔씨켐","0","5910","5910","0","128461950","128461950"
"108320","LX세미콘","43","2455","2412","2257500","129985400","127727900"
"483650","달바글로벌","338","1167","829","46627000","161668100","115041100"
"249420","일동제약","1825","5501","3676","53630750","165061700","111430950"
"033240","자화전자","192","5642","5450","3847450","113774110","109926660"
"001060","JW중외제약","57","4054","3997","1573200","111458150","109884950"
"005810","풍산홀딩스","347","3213","2866","13121550","121765800","108644250"
"000100","유한양행","225","1150","925","26210650","133824850","107614200"
"101160","월덱스","0","4714","4714","0","104657950","104657950"
"005710","대원산업","0","6691","6691","0","100066780","100066780"
"228760","지노믹트리","751","4351","3600","20994500","120986050","99991550"
"119850","지엔씨에너지","445","3329","2884","15396900","114999750","99602850"
"011200","HMM","2327","7018","4691","47933400","144768650","96835250"
"122640","예스티","0","5000","5000","0","96090760","96090760"
"014830","유니드","99","1505","1406","6635300","100943000","94307700"
"089010","켐트로닉스","3538","6324","2786","115250400","206879050","91628650"
"024110","기업은행","2016","6247","4231","42336000","131002650","88666650"
"034220","LG디스플레이","2072","8889","6817","26583950","114471720","87887770"
"030530","원익홀딩스","112","3136","3024","3248650","90661275","87412625"
"099440","스맥","0","10894","10894","0","86135710","86135710"
"092460","한라IMS","0","4729","4729","0","84560730","84560730"
"018670","SK가스","24","364","340","5832000","88266500","82434500"
"105630","한세실업","498","6743","6245","6457430","87517490","81060060"
"003550","LG","2321","3243","922","192820150","270221000","77400850"
"045100","한양이엔지","0","3632","3632","0","76778300","76778300"
"156100","엘앤케이바이오","0","5200","5200","0","75984150","75984150"
"453340","현대그린푸드","84","4891","4807","1329720","76998820","75669100"
