종목코드,종목명,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"005930","삼성전자","94307","255863","161556","13118637000","35689960350","22571323350"
"005380","현대차","21150","55281","34131","8519648500","22548556250","14028907750"
"298040","효성중공업","962","7085","6123","2006461000","14805229000","12798768000"
"267260","HD현대일렉트릭","2013","12779","10766","1826283500","11708330000","9882046500"
"000880","한화","50442","126058","75616","6040884350","15163954050","9123069700"
"000150","두산","3235","11945","8710","2715407500","10006845000","7291437500"
"489790","한화비전","13863","142219","128356","725665100","7485845950","6760180850"
"000270","기아","30398","76147","45749","4301541150","10882009600","6580468450"
"036570","엔씨소프트","3498","29222","25724","868937000","7326394750","6457457750"
"005935","삼성전자우","13015","67311","54296","1351413050","6950536500","5599123450"
"010120","LS ELECTRIC","2985","11310","8325","1582858000","6076509500","4493651500"
"034020","두산에너빌리티","21166","70296","49130","1890236950","6282455650","4392218700"
"039200","오스코텍","590","95464","94874","26034950","4251061650","4225026700"
"214450","파마리서치","1791","10124","8333","786877500","4492846750","3705969250"
"003230","삼양식품","916","3874","2958","1102341000","4673779000","3571438000"
"066970","엘앤에프","7411","37926","30515","864428400","4393084450","3528656050"
"006260","LS","9371","25289","15918","2023802750","5545237500","3521434750"
"090430","아모레퍼시픽","2152","29567","27415","256114650","3534891300","3278776650"
"055550","신한지주","14972","52847","37875","1181237650","4219634300","3038396650"
"005490","POSCO홀딩스","9558","17482","7924","3273594000","6047997000","2774403000"
"000720","현대건설","50237","74005","23768","4775852200","7154100200","2378248000"
"006730","서부T&D","17437","186442","169005","233887295","2488810790","2254923495"
"004170","신세계","670","8409","7739","188112250","2361905250","2173793000"
"052690","한전기술","5725","23877","18152","665319200","2788361450","2123042250"
"267270","HD현대건설기계","12938","28572","15634","1564683700","3540594950","1975911250"
"295310","에이치브이엠","19536","41438","21902","1512811450","3261167650","1748356200"
"257720","실리콘투","9838","47883","38045","424507400","2087886775","1663379375"
"302440","SK바이오사이언스","22","33371","33349","1071400","1635426625","1634355225"
"006650","대한유화","937","11734","10797","134426200","1736632450","1602206250"
"003490","대한항공","18120","86036","67916","410235700","1947860000","1537624300"
"035420","NAVER","9540","15121","5581","2470544500","3929182500","1458638000"
"010950","S-Oil","2269","18877","16608","197088000","1638057950","1440969950"
"011200","HMM","9931","79320","69389","204411450","1642608000","1438196550"
"277810","레인보우로보틱스","676","3782","3106","309259500","1735777250","1426517750"
"011780","금호석유화학","428","10373","9945","57979600","1441625400","1383645800"
"456160","지투지바이오","1042","20468","19426","74103300","1455531450","1381428150"
"318060","그래피","669","38778","38109","23461450","1358766350","1335304900"
"475830","오름테라퓨틱","5172","16047","10875","609523800","1898151300","1288627500"
"161890","한국콜마","2614","21882","19268","167957200","1409938650","1241981450"
"348210","넥스틴","1112","17735","16623","79964000","1273868900","1193904900"
"058470","리노공업","1462","19685","18223","94202200","1265556050","1171353850"
"267250","HD현대","1348","6079","4731","309986750","1430643000","1120656250"
"020150","롯데에너지머티리얼즈","13","32984","32971","442350","1088522675","1088080325"
"033240","자화전자","1144","44542","43398","26292650","1046311050","1020018400"
"361610","SK아이이테크놀로지","1553","43532","41979","37675800","1057157475","1019481675"
"253450","스튜디오드래곤","295","21715","21420","13683325","1024126450","1010443125"
"009830","한화솔루션","18349","51502","33153","515938200","1496480550","980542350"
"204320","HL만도","4521","19871","15350","278955700","1235670200","956714500"
"290740","액트로","669","36942","36273","14780300","815157025","800376725"
"452430","사피엔반도체","709","23337","22628","24019750","793201350","769181600"
"018260","삼성에스디에스","886","4974","4088","159560600","900602350","741041750"
"017670","SK텔레콤","2123","14920","12797","116557550","816811200","700253650"
"0004V0","엔비알모션","11272","55654","44382","169863580","838747390","668883810"
"458870","씨어스테크놀로지","5843","11320","5477","714765750","1383340900","668575150"
"126340","비나텍","706","7828","7122","63378700","718031200","654652500"
"006280","녹십자","12","3954","3942","1961900","646984600","645022700"
"003160","디아이","2979","23346","20367","92111300","722707075","630595775"
"336260","두산퓨얼셀","5476","22542","17066","203171800","814825650","611653850"
"491000","리브스메드","7797","18142","10345","444686850","1035593900","590907050"
"450080","에코프로머티","3126","13732","10606","172451850","761325650","588873800"
"088350","한화생명","366843","521538","154695","1235648341","1770706590","535058249"
"005387","현대차2우B","112","2173","2061","27866500","546885250","519018750"
"371950","풍원정밀","0","39600","39600","0","514659300","514659300"
"241710","코스메카코리아","2382","9820","7438","163794600","678118100","514323500"
"00680K","미래에셋증권2우B","609","42039","41430","7373345","510154035","502780690"
"010060","OCI홀딩스","259","4761","4502","28749600","529029900","500280300"
"285130","SK케미칼","170","7074","6904","11832400","495820100","483987700"
"007070","GS리테일","128","23317","23189","2636475","481128650","478492175"
"028260","삼성물산","3207","4906","1699","905874250","1382692500","476818250"
"263750","펄어비스","13090","24244","11154","526551350","975873675","449322325"
"002020","코오롱","4","9991","9987","178000","445105050","444927050"
"041920","메디아나","247","32385","32138","3257930","432393320","429135390"
"067310","하나마이크론","342","14526","14184","9790900","416724925","406934025"
"034220","LG디스플레이","23230","55036","31806","279592495","664096330","384503835"
"111770","영원무역","20","3952","3932","1730100","344705900","342975800"
"417310","코람코더원리츠","12","37000","36988","104340","321639040","321534700"
"493330","지에프아이","15597","36127","20530","346751200","667121170","320369970"
"002380","KCC","292","991","699","130086500","442277250","312190750"
"042000","카페24","0","8570","8570","0","278060700","278060700"
"004590","한국가구","0","52784","52784","0","271133120","271133120"
"456040","OCI","2","3914","3912","146200","267625650","267479450"
"228760","지노믹트리","0","10123","10123","0","267450250","267450250"
"101170","우림피티에스","0","11603","11603","0","244790700","244790700"
"051600","한전KPS","6976","11292","4316","369027000","600077850","231050850"
"089590","제주항공","0","39980","39980","0","215701910","215701910"
"021240","코웨이","93","2833","2740","7289050","222671200","215382150"
"420770","기가비스","1800","6996","5196","73188850","285666975","212478125"
"260970","에스앤디","19","2934","2915","1333700","209769900","208436200"
"005440","현대지에프홀딩스","5400","28237","22837","45768270","240592190","194823920"
"290650","엘앤씨바이오","5058","8646","3588","279200050","473422100","194222050"
"108380","대양전기공업","0","6780","6780","0","183522725","183522725"
"373220","LG에너지솔루션","12454","12820","366","4860615250","5044053250","183438000"
"007810","코리아써키트","443","3969","3526","22778600","205087400","182308800"
"098070","한텍","0","5233","5233","0","182224050","182224050"
"044490","태웅","1788","7724","5936","50814950","222139800","171324850"
"107640","한중엔시에스","3457","7211","3754","155361425","325996150","170634725"
"140860","파크시스템스","1168","1875","707","275643000","443710500","168067500"
"348370","엔켐","0","2600","2600","0","167704650","167704650"
"078340","컴투스","0","5275","5275","0","164099300","164099300"
"047050","포스코인터내셔널","6027","8847","2820","320441000","483867300","163426300"
"031980","피에스케이홀딩스","7","3076","3069","368900","159830200","159461300"
"388870","파로스아이바이오","860","14149","13289","9855600","164669590","154813990"
"011070","LG이노텍","2831","3280","449","790151750","943779000","153627250"
"003380","하림지주","0","13840","13840","0","151697240","151697240"
"415640","KB발해인프라","27","15154","15127","261900","147026555","146764655"
"194480","데브시스터즈","6141","10546","4405","203113350","349600450","146487100"
"214150","클래시스","111","2423","2312","6452900","141011500","134558600"
"010130","고려아연","564","665","101","730606500","864301000","133694500"
"062040","산일전기","7497","8261","764","1080953400","1204078800","123125400"
"126700","하이비젼시스템","0","7646","7646","0","118658765","118658765"
"499790","GS피앤엘","8127","10680","2553","363380575","479142100","115761525"
"489460","바이오비쥬","0","10771","10771","0","115564350","115564350"
"353810","이지바이오","415","19300","18885","2469420","117263180","114793760"
"034310","NICE","11","8950","8939","139470","112952410","112812940"
"074600","원익QnC","194","4854","4660","4475350","112967100","108491750"
"243070","휴온스","0","4139","4139","0","108033150","108033150"
"192820","코스맥스","1496","2063","567","267729050","373034250","105305200"
"211050","인카금융서비스","1158","9738","8580","14115085","119028820","104913735"
"006060","화승인더","16","30359","30343","54400","103472865","103418465"
"289930","웨이비스","0","10000","10000","0","102649780","102649780"
"376270","HEM파마","0","1761","1761","0","95612600","95612600"
"056080","유진로봇","2560","7982","5422","45674240","139755895","94081655"
"330590","롯데리츠","595","23656","23061","2421620","95977070","93555450"
"336570","원텍","1016","11982","10966","8377320","99255150","90877830"
"179900","유티아이","0","4181","4181","0","90713350","90713350"
"085910","네오티스","950","9297","8347","9770155","99115120","89344965"
"086520","에코프로","9140","10053","913","858443750","947081800","88638050"
"308430","셀비온","338","4500","4162","7321650","95609350","88287700"
"120110","코오롱인더","927","2734","1807","42368200","126668900","84300700"
"475230","엔알비","0","5000","5000","0","83948200","83948200"
"088910","동우팜투테이블","0","40209","40209","0","81099330","81099330"
"338840","와이바이오로직스","1700","5024","3324","41127850","121741850","80614000"
"099190","아이센스","0","5215","5215","0","80251790","80251790"
"226590","엠디바이스","0","5349","5349","0","79410010","79410010"
"014790","HL D&I","0","28089","28089","0","78730795","78730795"
"045100","한양이엔지","575","3790","3215","13793200","91037100","77243900"
"473980","노머스","4355","7637","3282","98820000","174267950","75447950"
"032500","케이엠더블유","1270","6221","4951","18512140","90707590","72195450"
"322000","HD현대에너지솔루션","4470","5675","1205","257451250","327017100","69565850"
"105840","우진","20504","23661","3157","437555775","507087975","69532200"
"009450","경동나비엔","3390","4551","1161","192184400","260984100","68799700"
"089860","롯데렌탈","4095","6292","2197","125222075","193678850","68456775"
"105630","한세실업","11","4835","4824","155780","68537540","68381760"
"236200","슈프리마","644","2500","1856","23397200","91145550","67748350"
"120030","조선선재","0","692","692","0","67068400","67068400"
"381620","제닉스로보틱스","0","5000","5000","0","64965470","64965470"
"091580","상신이디피","0","5000","5000","0","64666540","64666540"
