종목코드,종목명,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"034020","두산에너빌리티","14675","179199","164524","1236570600","15136433300","13899862700"
"039200","오스코텍","11906","300494","288588","552653050","13966136600","13413483550"
"064350","현대로템","33945","78472","44527","6920197350","16138548200","9218350850"
"079550","LIG넥스원","3895","17859","13964","1897625500","8685976500","6788351000"
"035420","NAVER","16660","42403","25743","4309836000","11000800000","6690964000"
"005935","삼성전자우","17408","82186","64778","1734631450","8213011700","6478380250"
"329180","HD현대중공업","2299","10905","8606","1233852000","5930087000","4696235000"
"006400","삼성SDI","2246","17046","14800","619090250","4729962250","4110872000"
"207940","삼성바이오로직스","238","2564","2326","409087000","4413018000","4003931000"
"005490","POSCO홀딩스","4865","18058","13193","1470992000","5470670500","3999678500"
"257720","실리콘투","37742","127438","89696","1533815975","5190762350","3656946375"
"103140","풍산","4700","34860","30160","528062300","4024890200","3496827900"
"042700","한미반도체","34263","53801","19538","6033634350","9432363300","3398728950"
"042660","한화오션","8537","35191","26654","1013116500","4182038800","3168922300"
"230360","에코마케팅","2686","200000","197314","42706530","3180000000","3137293470"
"017960","한국카본","7782","111532","103750","233210675","3341594250","3108383575"
"047810","한국항공우주","32277","54096","21819","4344314250","7346969350","3002655100"
"347850","디앤디파마텍","9109","38764","29655","892472550","3823405200","2930932650"
"489790","한화비전","25930","84061","58131","1274115250","4169949350","2895834100"
"003230","삼양식품","2127","4074","1947","2712300500","5182615000","2470314500"
"323410","카카오뱅크","561","109815","109254","12678600","2477045925","2464367325"
"100790","미래에셋벤처투자","35032","189525","154493","514731420","2763070445","2248339025"
"036570","엔씨소프트","90","10333","10243","19603000","2240826000","2221223000"
"298040","효성중공업","3255","4314","1059","5832532500","7863190000","2030657500"
"034730","SK","1565","8613","7048","435663750","2453296000","2017632250"
"267260","HD현대일렉트릭","4463","6748","2285","3639019000","5473762000","1834743000"
"082740","한화엔진","1983","44018","42035","85119800","1905764325","1820644525"
"356860","티엘비","7927","37579","29652","473759400","2273004800","1799245400"
"195940","HK이노엔","352","35518","35166","17668500","1801469050","1783800550"
"095340","ISC","4494","19824","15330","505991450","2244430100","1738438650"
"011790","SKC","45","15824","15779","4930900","1727743850","1722812950"
"352820","하이브","7393","12131","4738","2470347000","4080557500","1610210500"
"00680K","미래에셋증권2우B","11853","131671","119818","146538295","1632213585","1485675290"
"005387","현대차2우B","1813","8350","6537","393492500","1876836000","1483343500"
"425420","티에프이","950","36909","35959","38209400","1489004850","1450795450"
"003160","디아이","3240","57501","54261","89900100","1528359925","1438459825"
"373220","LG에너지솔루션","1763","5494","3731","663924250","2069832250","1405908000"
"086280","현대글로비스","3547","10830","7283","657166400","2021065100","1363898700"
"267270","HD현대건설기계","4003","16280","12277","434523250","1770014650","1335491400"
"016360","삼성증권","5518","21358","15840","431170200","1679914700","1248744500"
"066570","LG전자","2092","14820","12728","195779900","1393501850","1197721950"
"272210","한화시스템","3902","23663","19761","233614300","1412734850","1179120550"
"052690","한전기술","1579","13698","12119","150856400","1306422600","1155566200"
"491000","리브스메드","914","21021","20107","52485450","1204825600","1152340150"
"003670","포스코퓨처엠","128","5688","5560","23329950","1039617200","1016287250"
"403870","HPSP","14396","40431","26035","538404025","1532854025","994450000"
"263750","펄어비스","1629","27068","25439","62081725","1036095550","974013825"
"078160","메디포스트","2571","57087","54516","44027290","979006380","934979090"
"041510","에스엠","7008","14708","7700","818887250","1721598050","902710800"
"388210","씨엠티엑스","1865","11126","9261","176414600","1075368500","898953900"
"247540","에코프로비엠","440","6439","5999","65249300","959010300","893761000"
"035720","카카오","1446","14851","13405","92117800","945089800","852972000"
"083650","비에이치아이","1231","15426","14195","71507150","891945200","820438050"
