종목코드,종목명,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"005930","삼성전자","71379","515514","444135","7599673550","54524562100","46924888550"
"032350","롯데관광개발","83638","429151","345513","1797874100","9298868050","7500993950"
"015760","한국전력","14117","138167","124050","725179550","7142484300","6417304750"
"138930","BNK금융지주","3783","270553","266770","58995440","4203913980","4144918540"
"298040","효성중공업","717","2569","1852","1382607000","4950763000","3568156000"
"039200","오스코텍","12648","76544","63896","653692000","4100977950","3447285950"
"011170","롯데케미칼","663","36810","36147","52051350","2899856200","2847804850"
"204320","HL만도","515","45357","44842","27694700","2475775350","2448080650"
"007660","이수페타시스","13938","31196","17258","1749476200","3904659700","2155183500"
"475830","오름테라퓨틱","1069","22601","21532","95033800","2054574400","1959540600"
"005935","삼성전자우","49265","72800","23535","4091746250","6004929450","1913183200"
"010120","LS ELECTRIC","765","4667","3902","363523750","2230020750","1866497000"
"247540","에코프로비엠","1295","11648","10353","215192650","1931276450","1716083800"
"005387","현대차2우B","1041","9042","8001","214895500","1876960250","1662064750"
"012330","현대모비스","2695","7198","4503","968627000","2598100000","1629473000"
"180640","한진칼","260","13173","12913","30391100","1547540050","1517148950"
"004170","신세계","2237","7613","5376","589010250","2018462250","1429452000"
"042520","한스바이오메드","261","41501","41240","8668450","1385622500","1376954050"
"084370","유진테크","4812","22522","17710","345326800","1663907150","1318580350"
"298380","에이비엘바이오","21646","28448","6802","4002237200","5274508050","1272270850"
"388210","씨엠티엑스","5790","19238","13448","527079950","1771001650","1243921700"
"067310","하나마이크론","2469","51963","49494","59699800","1257152750","1197452950"
"353200","대덕전자","464","26049","25585","21535750","1213972750","1192437000"
"000250","삼천당제약","135","5268","5133","30994000","1221449000","1190455000"
"011210","현대위아","5725","21504","15779","411924000","1574183550","1162259550"
"494120","큐리오시스","3849","21310","17461","252272550","1413591750","1161319200"
"319660","피에스케이","5380","38995","33615","166890300","1234354500","1067464200"
"012450","한화에어로스페이스","1000","2189","1189","870911000","1928023500","1057112500"
"041510","에스엠","4893","13479","8586","558630500","1549750050","991119550"
"006360","GS건설","847","45149","44302","17016775","912253280","895236505"
"099320","쎄트렉아이","648","15005","14357","37245000","867158700","829913700"
"389260","대명에너지","0","40605","40605","0","784640060","784640060"
"069260","TKG휴켐스","181","39562","39381","3590110","784535240","780945130"
"035900","JYP Ent.","66","10840","10774","4565450","755688550","751123100"
"064350","현대로템","9497","13144","3647","1716628350","2402050100","685421750"
"140410","메지온","20140","27610","7470","2022586150","2707328450","684742300"
"310210","보로노이","99","3270","3171","20805500","698349000","677543500"
"003490","대한항공","1971","32161","30190","43747175","714570900","670823725"
"297090","씨에스베어링","0","99557","99557","0","669206050","669206050"
"003670","포스코퓨처엠","1540","4617","3077","323349250","972207000","648857750"
"030200","KT","12014","23344","11330","648035450","1259023400","610987950"
"214450","파마리서치","844","2406","1562","318645250","910658750","592013500"
"039030","이오테크닉스","778","3027","2249","190678500","747549750","556871250"
"122870","와이지엔터테인먼트","28","8377","8349","1795600","539243050","537447450"
"010060","OCI홀딩스","250","5143","4893","27013250","556412850","529399600"
"064760","티씨케이","300","3814","3514","43157100","554517600","511360500"
"251270","넷마블","1899","12198","10299","93296850","597592900","504296050"
"361610","SK아이이테크놀로지","2003","19433","17430","57132050","554204750","497072700"
"462350","이노스페이스","35760","76374","40614","428310005","915930690","487620685"
"331740","아우토크립트","6856","33946","27090","124676395","595945100","471268705"
"002020","코오롱","801","9686","8885","41246300","501551700","460305400"
"016360","삼성증권","3147","8870","5723","247337350","698082000","450744650"
"441270","파인엠텍","20063","66559","46496","186781845","630697560","443915715"
"078930","GS","787","8696","7909","44070000","485659700","441589700"
"007070","GS리테일","646","20344","19698","14381000","454185500","439804500"
"138040","메리츠금융지주","2361","6287","3926","257943850","684688050","426744200"
"139130","iM금융지주","643","29880","29237","9360140","432040680","422680540"
"475150","SK이터닉스","277","19617","19340","5969700","427999275","422029575"
"388720","유일로보틱스","798","5415","4617","70049800","483294750","413244950"
"079550","LIG넥스원","136","1184","1048","52319500","456272250","403952750"
"017940","E1","26","4431","4405","2379000","401398400","399019400"
"001800","오리온홀딩스","237","17990","17753","5071800","384146050","379074250"
"006280","녹십자","72","2358","2286","11930700","389046400","377115700"
"000815","삼성화재우","20","1000","980","7572500","378599500","371027000"
"021240","코웨이","569","4563","3994","51131500","409430850","358299350"
