종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"006220","제주은행","KOSPI","은행","15630","-250","-1.57","590791445910"
"089590","제주항공","KOSPI","운송·창고","6370","-50","-0.78","513683074450"
"004910","조광페인트","KOSPI","화학","5400","-40","-0.74","69120000000"
"004700","조광피혁","KOSPI","섬유·의류","75000","2300","3.16","498685350000"
"001550","조비","KOSPI","화학","15090","580","4.00","78350886510"
"462520","조선내화","KOSPI","비금속","13860","-230","-1.63","164312628480"
"120030","조선선재","KOSPI","금속","105300","1400","1.35","132430650300"
"018470","조일알미늄","KOSPI","금속","1250","-20","-1.57","158289651250"
"002600","조흥","KOSPI","음식료·담배","160100","2400","1.52","96060000000"
"185750","종근당","KOSPI","제약","94000","-1300","-1.36","1297461320000"
"063160","종근당바이오","KOSPI","제약","21050","-350","-1.64","115479500100"
"001630","종근당홀딩스","KOSPI","제약","52500","0","0.00","263017702500"
"109070","주성코퍼레이션","KOSPI","전기·전자","800","-14","-1.72","42248184000"
"044380","주연테크","KOSPI","전기·전자","399","-12","-2.92","25728151218"
"013890","지누스","KOSPI","기타제조","12660","-200","-1.56","281742932160"
"013870","지엠비코리아","KOSPI","운송장비·부품","5710","200","3.63","108902718800"
"071320","지역난방공사","KOSPI","전기·가스","91500","-1600","-1.72","1059455076000"
"088790","진도","KOSPI","유통","2155","-95","-4.22","26824888320"
"003780","진양산업","KOSPI","화학","6230","-110","-1.74","80990000000"
"010640","진양폴리","KOSPI","화학","2905","5","0.17","29050000000"
"100250","진양홀딩스","KOSPI","화학","3235","-5","-0.15","180821269620"
"051630","진양화학","KOSPI","화학","2255","5","0.22","47806000000"
"272450","진에어","KOSPI","운송·창고","7240","-10","-0.14","377928000000"
"011000","진원생명과학","KOSPI","제약","1650","-80","-4.62","140926394400"
"002780","진흥기업","KOSPI","건설","813","4","0.49","118268528685"
"002787","진흥기업2우B","KOSPI","건설","8790","0","0.00","2591362320"
"002785","진흥기업우B","KOSPI","건설","3770","190","5.31","3231711860"
"025620","차AI헬스케어","KOSPI","화학","10850","-450","-3.98","197513107050"
"009310","참엔지니어링","KOSPI","기계·장비","976","-69","-6.60","21359832224"
"000650","천일고속","KOSPI","운송·창고","284500","-1500","-0.52","406613090000"
"033250","체시스","KOSPI","운송장비·부품","1024","-12","-1.16","32768000000"
"035720","카카오","KOSPI","IT 서비스","57400","-1400","-2.38","25405565400600"
"323410","카카오뱅크","KOSPI","은행","27400","-1150","-4.03","13070113373800"
"377300","카카오페이","KOSPI","기타금융","62500","-1200","-1.88","8446954375000"
